,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,17769,45758,14830,66979,0,9,5.0,-28,0,-11.51478494623656,53.92,100.0,77.31833333333334,0.0,358.8,211.2478494623656,0.3,6.6000000000000005,2.9270161290322583,-25,3,-8.15994623655914,2017,Montana,Great Falls,United States,47.5036,-111.2864,-18.0,32.0,11.27338709677419,-13.0,37.0,17.31209677419355,1.0,21.7,9.603071596774194
1,2,24418,53887,17300,93764,0,9,6.0,-24,3,-7.168154761904762,33.37,100.0,72.47614583333333,0.5,359.6,195.6971726190476,0.4,7.4,3.2348214285714287,-19,15,-2.461309523809524,2017,Montana,Great Falls,United States,47.5036,-111.2864,-11.0,37.0,19.097321428571423,-2.0,59.0,27.569642857142856,1.3,24.3,10.612931535714289
2,3,44181,116086,28232,156824,0,9,6.0,-17,7,-2.3696236559139785,24.16,100.0,71.52056451612904,0.2,359.8,223.0747311827957,0.2,8.700000000000001,3.096505376344086,-11,21,3.1948924731182795,2017,Montana,Great Falls,United States,47.5036,-111.2864,1.0,45.0,27.73467741935484,12.0,70.0,37.7508064516129,0.7,28.5,10.159138698924732
3,4,59557,138544,38730,203888,0,9,5.0,-8,7,-0.4291666666666666,23.87,100.0,70.91097222222223,0.1,358.5,235.4908333333333,0.3,7.4,2.802083333333333,-5,20,5.779166666666667,2017,Montana,Great Falls,United States,47.5036,-111.2864,18.0,45.0,31.2275,23.0,68.0,42.4025,1.0,24.3,9.193187083333331
4,5,62547,198217,43321,250458,0,9,4.0,-6,15,3.681451612903226,21.53,100.0,61.97118279569892,0.0,359.5,226.2345430107527,0.1,8.6,2.3041666666666667,0,30,12.76747311827957,2017,Montana,Great Falls,United States,47.5036,-111.2864,21.0,59.0,38.626612903225805,32.0,86.0,54.98145161290323,0.3,28.2,7.559602166666667
5,6,73133,212578,38900,259945,0,9,4.0,-2,15,6.605555555555555,21.1,100.0,57.983625,0.1,359.70000000000005,220.14180555555555,0.2,5.9,2.5547222222222223,5,34,17.038888888888888,2017,Montana,Great Falls,United States,47.5036,-111.2864,28.0,59.0,43.89,41.0,93.0,62.67,0.7,19.4,8.381634855555555
6,7,51982,237888,43935,253482,0,9,2.0,0,19,8.62768817204301,15.0,100.0,45.18357526881721,0.0,359.70000000000005,224.79905913978496,0.1,5.5,1.886962365591398,11,37,24.02956989247312,2017,Montana,Great Falls,United States,47.5036,-111.2864,32.0,66.0,47.52983870967742,52.0,99.0,75.25322580645161,0.3,18.0,6.190821607526883
7,8,63806,179063,64905,203795,0,9,3.0,-2,15,6.341397849462366,14.2,97.73,48.342405913978496,0.0,360.0,209.0125,0.2,6.0,1.7951612903225809,10,33,20.01344086021505,2017,Montana,Great Falls,United States,47.5036,-111.2864,28.0,59.0,43.41451612903226,50.0,91.0,68.02419354838709,0.7,19.7,5.889636967741936
8,9,49050,126344,44144,152044,0,9,4.0,-3,13,3.020833333333333,12.0,100.0,58.39736111111111,0.3,359.8,190.18416666666667,0.2,5.1000000000000005,2.159305555555556,0,32,13.334722222222222,2017,Montana,Great Falls,United States,47.5036,-111.2864,27.0,55.0,37.4375,32.0,90.0,56.0025,0.7,16.7,7.084336038888891
9,10,32332,82935,22322,115046,0,9,4.0,-11,4,-1.97983870967742,18.47,100.0,61.79270161290323,6.4,358.5,252.64825268817208,0.4,10.7,3.632795698924732,-4,22,5.657258064516129,2017,Montana,Great Falls,United States,47.5036,-111.2864,12.0,39.0,28.436290322580646,25.0,72.0,42.18306451612904,1.3,35.1,11.918621440860218
10,11,16954,42331,15766,70695,0,9,6.0,-16,6,-4.154166666666667,32.03,100.0,73.75243055555555,0.4,358.40000000000003,210.4748611111111,0.2,8.4,3.3815277777777784,-12,15,0.3263888888888889,2017,Montana,Great Falls,United States,47.5036,-111.2864,3.0,43.0,24.5225,10.0,59.0,32.5875,0.7,27.6,11.094251594444446
11,12,13994,51310,12749,53653,0,9,5.0,-30,0,-10.27016129032258,35.02,97.24,70.1801747311828,1.4,357.5,205.8545698924732,0.3,6.4,2.876881720430108,-26,6,-5.543010752688172,2017,Montana,Great Falls,United States,47.5036,-111.2864,-22.0,32.0,13.513709677419357,-15.0,43.0,22.02258064516129,1.0,21.0,9.438588623655916
