,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19210,43183,14956,69157,0,9,5.0,-29,0,-11.883064516129032,54.29,100.0,90.40774193548388,12.0,357.90000000000003,184.8119623655914,0.1,1.4,0.5024193548387097,-23,3,-7.451612903225806,2017,Montana,Missoula,United States,46.8625,-114.0117,-20.0,32.0,10.61048387096774,-9.0,37.0,18.587096774193547,0.3,4.6,1.6483575161290325
1,2,27467,54721,19811,97282,0,9,6.0,-27,1,-5.794642857142857,58.05,100.0,93.86364583333334,0.5,358.90000000000003,193.97321428571428,0.0,1.2000000000000002,0.3574404761904762,-21,4,-1.985119047619048,2017,Montana,Missoula,United States,46.8625,-114.0117,-17.0,34.0,21.56964285714286,-6.0,39.0,28.426785714285717,0.0,3.9,1.172705011904762
2,3,51850,90617,32593,157353,0,9,6.0,-12,6,-1.0255376344086022,58.03,100.0,93.96155913978494,2.2,358.8,220.6951612903226,0.0,0.9,0.303494623655914,-8,13,3.0201612903225805,2017,Montana,Missoula,United States,46.8625,-114.0117,10.0,43.0,30.154032258064515,18.0,55.0,37.436290322580646,0.0,3.0,0.9957173010752688
3,4,68835,128608,38574,203666,0,9,6.0,-6,7,-0.3194444444444444,37.07,100.0,85.13875,4.7,355.5,233.25736111111112,0.0,1.0,0.2934722222222222,-1,17,5.530555555555556,2017,Montana,Missoula,United States,46.8625,-114.0117,21.0,45.0,31.425,30.0,63.0,41.955,0.0,3.3,0.9628354055555556
4,5,65658,194703,44100,250228,0,9,4.0,-2,16,4.139784946236559,30.12,100.0,78.72993279569893,0.1,359.3,227.1731182795699,0.0,1.1,0.271505376344086,1,28,12.172043010752688,2017,Montana,Missoula,United States,46.8625,-114.0117,28.0,61.0,39.45161290322581,34.0,82.0,53.90967741935484,0.0,3.6,0.8907656989247311
5,6,71088,195868,42264,257285,0,9,4.0,0,18,7.533333333333333,34.57,100.0,78.73584722222222,2.8000000000000003,359.3,223.52444444444444,0.0,1.0,0.1708333333333333,3,31,15.959722222222222,2017,Montana,Missoula,United States,46.8625,-114.0117,32.0,64.0,45.56,37.0,88.0,60.7275,0.0,3.3,0.5604768333333332
6,7,60169,231260,48227,249236,0,8,2.0,2,20,10.48521505376344,17.07,100.0,63.43856182795699,0.9,357.20000000000005,239.419623655914,0.0,1.0,0.2916666666666667,10,36,23.076612903225808,2017,Montana,Missoula,United States,46.8625,-114.0117,36.0,68.0,50.8733870967742,50.0,97.0,73.53790322580645,0.0,3.3,0.9569116666666668
7,8,82588,175975,82383,191144,0,9,3.0,-2,16,6.17741935483871,15.92,100.0,54.50603494623656,0.5,359.6,202.86263440860216,0.0,1.0,0.246505376344086,11,35,21.30913978494624,2017,Montana,Missoula,United States,46.8625,-114.0117,28.0,61.0,43.11935483870968,52.0,95.0,70.35645161290324,0.0,3.3,0.8087446989247311
8,9,55630,111129,50648,146987,0,9,4.0,-4,13,3.1708333333333334,15.1,100.0,68.01265277777777,0.3,359.0,197.98888888888888,0.0,1.2000000000000002,0.2765277777777778,0,34,14.394444444444444,2017,Montana,Missoula,United States,46.8625,-114.0117,25.0,55.0,37.7075,32.0,93.0,57.91,0.0,3.9,0.9072433944444446
9,10,31937,76941,24132,114921,0,9,4.0,-13,5,-1.5994623655913978,25.63,100.0,76.63926075268817,0.2,359.40000000000003,227.97405913978497,0.0,1.2000000000000002,0.2825268817204301,-2,21,5.923387096774194,2017,Montana,Missoula,United States,46.8625,-114.0117,9.0,41.0,29.120967741935484,28.0,70.0,42.66209677419355,0.0,3.9,0.926925494623656
10,11,21786,38640,17420,71579,0,8,6.0,-15,7,-2.8944444444444444,55.13,100.0,92.5501388888889,1.9,354.3,202.9011111111111,0.0,1.1,0.2859722222222222,-11,11,1.1569444444444446,2017,Montana,Missoula,United States,46.8625,-114.0117,5.0,45.0,26.79,12.0,52.0,34.0825,0.0,3.6,0.9382291055555554
11,12,15663,45891,13522,55384,0,9,5.0,-28,0,-7.690860215053763,53.23,100.0,89.94021505376345,9.7,359.40000000000003,224.14758064516133,0.0,1.4,0.3780913978494624,-22,5,-3.2688172043010755,2017,Montana,Missoula,United States,46.8625,-114.0117,-18.0,32.0,18.156451612903226,-8.0,41.0,26.116129032258065,0.0,4.6,1.24045738172043
