,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24102,79220,20391,112396,0,9,3.0,-12.5,16.400000000000002,2.221236559139785,42.03,100.0,84.1170430107527,2,358,196.5806451612904,0.2,4.0,1.130510752688172,-6.7,19.1,4.905913978494624,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,10.0,62.0,35.998225806451615,20.0,66.0,40.83064516129032,0.7,13.1,3.7090248978494618
1,2,30400,74479,25363,129219,0,8,4.0,-5.0,18.5,6.191369047619048,44.06,100.0,86.38482142857143,3,356,181.3020833333333,0.2,3.7,1.175595238095238,-2.7,23.0,8.592113095238096,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,23.0,65.0,43.144464285714285,27.0,73.0,47.46580357142857,0.7,12.1,3.856939880952381
2,3,47150,131960,36246,189060,0,9,4.0,-8.200000000000001,19.0,5.651478494623656,35.32,100.0,80.8490053763441,0,359,186.7163978494624,0.3,2.8000000000000003,1.148521505376344,-4.3,21.700000000000003,9.233467741935485,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,17.0,66.0,42.17266129032258,24.0,71.0,48.62024193548388,1.0,9.2,3.768115295698924
3,4,54343,158374,43496,217415,0,9,3.0,-5.800000000000001,22.0,12.782638888888888,38.4,100.0,82.4231388888889,2,358,190.8180555555556,0.2,3.7,1.1701388888888888,-1.0,28.200000000000003,16.20916666666667,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,22.0,72.0,55.00875,30.0,83.0,61.1765,0.7,12.1,3.839038472222222
4,5,65095,200141,48456,247107,0,9,2.0,7.9,24.9,18.6,44.49,100.0,81.24932795698925,3,354,211.6236559139785,0.3,2.5,0.9736559139784948,8.4,33.0,22.388306451612905,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,46.0,77.0,65.48,47.0,91.0,72.29895161290324,1.0,8.2,3.1944092688172048
5,6,73726,191972,49249,246733,0,9,4.0,9.0,24.4,19.285416666666663,39.08,100.0,77.84059722222223,2,359,198.38611111111112,0.2,2.2,0.9705555555555556,11.8,33.800000000000004,23.929166666666667,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,48.0,76.0,66.71375,53.0,93.0,75.0725,0.7,7.2,3.184237488888889
6,7,77038,194717,53518,245275,0,9,3.0,13.6,25.9,20.56881720430108,28.38,100.0,70.4600806451613,1,357,189.0013440860215,0.1,2.4000000000000004,0.7840053763440861,16.2,36.9,27.338306451612905,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,56.0,79.0,69.02387096774194,61.0,98.0,81.20895161290323,0.3,7.9,2.5721961989247317
7,8,68085,173447,49581,223726,0,9,3.0,11.2,25.200000000000003,20.07782258064516,28.27,100.0,71.95028225806452,4,359,166.92069892473117,0.2,2.0,0.7252688172043011,15.7,36.8,26.417876344086025,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,52.0,77.0,68.14008064516129,60.0,98.0,79.55217741935485,0.7,6.6,2.3794909462365594
8,9,50557,164679,39677,185681,0,9,1.0,7.2,23.3,17.564305555555556,24.46,100.0,62.88356944444444,2,358,140.55138888888888,0.2,3.2,0.8186111111111113,11.8,37.7,26.312361111111112,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,45.0,74.0,63.615750000000006,53.0,100.0,79.36225,0.7,10.5,2.6857320777777782
9,10,38026,110394,28148,153527,0,9,3.0,-1.3,23.0,12.800537634408602,17.01,100.0,69.14141129032258,3,357,165.2997311827957,0.2,3.1,1.0137096774193548,5.6000000000000005,38.1,19.62715053763441,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,30.0,73.0,55.04096774193549,42.0,101.0,67.32887096774195,0.7,10.2,3.325819258064516
10,11,24527,83666,21486,115401,0,8,3.0,-12.4,16.1,3.459722222222222,30.54,100.0,75.82918055555555,1,359,163.13888888888889,0.2,3.3000000000000003,1.0254166666666669,-5.800000000000001,21.700000000000003,7.986944444444445,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,10.0,61.0,38.2275,22.0,71.0,46.3765,0.7,10.8,3.364228016666668
11,12,21483,69912,17662,101194,0,9,4.0,-7.6,18.2,4.398118279569893,37.01,100.0,82.68010752688173,2,359,169.51209677419354,0.2,3.0,1.099193548387097,-4.6000000000000005,20.0,7.486827956989247,2019,North Carolina,Charlotte,United States,35.2238,-80.8411,18.0,65.0,39.91661290322581,24.0,68.0,45.476290322580645,0.7,9.8,3.606278161290323
