,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,24665,79574,20280,108979,0,9,3.0,-15.5,17.400000000000002,1.2724462365591398,34.46,100.0,82.68639784946237,3,358,207.36155913978496,0.1,1.6,0.576747311827957,-7.800000000000001,18.5,4.233333333333333,2019,North Carolina,Durham,United States,35.9886,-78.9072,4.0,63.0,34.29040322580645,18.0,65.0,39.62,0.3,5.2,1.8922156505376344
1,2,29113,73701,25442,126329,0,8,4.0,-6.9,19.6,5.034226190476191,33.21,100.0,84.64540178571428,4,359,184.28125,0.1,1.6,0.5733630952380953,-5.1000000000000005,23.700000000000003,7.786755952380952,2019,North Carolina,Durham,United States,35.9886,-78.9072,20.0,67.0,41.06160714285714,23.0,75.0,46.01616071428572,0.3,5.2,1.8811125773809525
2,3,44489,131426,35469,187010,0,9,4.0,-9.6,19.8,4.731182795698925,35.410000000000004,100.0,80.09682795698924,3,357,197.11021505376343,0.1,1.2000000000000002,0.5482526881720431,-4.1000000000000005,22.0,8.483602150537635,2019,North Carolina,Durham,United States,35.9886,-78.9072,15.0,68.0,40.516129032258064,25.0,72.0,47.27048387096775,0.3,3.9,1.7987293494623655
3,4,54831,153120,44441,215247,0,9,3.0,-6.2,21.4,12.659027777777778,34.18,100.0,81.49340277777777,6,359,205.38333333333333,0.1,1.1,0.4136111111111111,-0.6000000000000001,28.8,16.339166666666667,2019,North Carolina,Durham,United States,35.9886,-78.9072,21.0,71.0,54.78625,31.0,84.0,61.4105,0.3,3.6,1.3569918777777776
4,5,68910,202450,49362,246531,0,9,2.0,6.800000000000001,25.1,18.186021505376345,37.89,100.0,79.56854838709677,1,353,219.69489247311827,0.1,0.9,0.2860215053763441,7.6,34.1,22.46008064516129,2019,North Carolina,Durham,United States,35.9886,-78.9072,44.0,77.0,64.73483870967743,46.0,93.0,72.42814516129033,0.3,3.0,0.9383907956989248
5,6,71648,192233,51459,246337,0,8,3.0,7.6,24.8,19.225694444444443,30.73,100.0,78.08459722222223,1,356,208.07361111111112,0.1,0.9,0.2876388888888889,12.2,34.800000000000004,23.92791666666667,2019,North Carolina,Durham,United States,35.9886,-78.9072,46.0,77.0,66.60624999999999,54.0,95.0,75.07025,0.3,3.0,0.9436971722222224
6,7,71523,203557,53386,245924,0,9,3.0,13.8,26.1,20.45403225806452,26.18,100.0,69.33551075268818,1,359,210.3978494623656,0.0,0.8,0.2717741935483871,17.6,37.8,27.6752688172043,2019,North Carolina,Durham,United States,35.9886,-78.9072,57.0,79.0,68.81725806451612,64.0,100.0,81.81548387096774,0.0,2.6,0.8916476451612904
7,8,67466,171669,48794,223496,0,9,3.0,8.5,26.4,20.04462365591398,24.26,100.0,72.12545698924731,4,353,187.56586021505376,0.0,0.9,0.2467741935483871,14.9,36.5,26.4627688172043,2019,North Carolina,Durham,United States,35.9886,-78.9072,47.0,80.0,68.08032258064517,59.0,98.0,79.63298387096773,0.0,3.0,0.8096266451612902
8,9,47777,159134,40070,183991,0,12,1.0,7.300000000000001,24.6,18.13083333333333,24.81,100.0,69.56143055555556,2,358,151.28472222222223,0.0,1.0,0.2619444444444444,11.3,37.7,25.22736111111111,2019,North Carolina,Durham,United States,35.9886,-78.9072,45.0,76.0,64.63550000000001,52.0,100.0,77.40925,0.0,3.3,0.859397811111111
9,10,37780,109324,27787,151233,0,9,3.0,-1.0,23.1,12.680913978494624,16.88,100.0,70.88729838709678,4,359,174.6034946236559,0.1,1.0,0.3336021505376344,4.9,38.5,19.05040322580645,2019,North Carolina,Durham,United States,35.9886,-78.9072,30.0,74.0,54.825645161290325,41.0,101.0,66.2907258064516,0.3,3.3,1.0944952795698926
10,11,24370,83560,21037,112526,0,8,3.0,-11.9,14.5,2.7122222222222225,26.32,100.0,73.77845833333333,1,360,204.5055555555556,0.0,1.1,0.3741666666666667,-5.800000000000001,22.4,7.710555555555556,2019,North Carolina,Durham,United States,35.9886,-78.9072,11.0,58.0,36.882,22.0,72.0,45.879,0.0,3.6,1.2275809666666668
11,12,23243,68414,17881,97718,0,9,4.0,-9.5,18.7,4.035483870967742,33.27,100.0,81.82841397849462,5,355,193.1854838709677,0.1,1.2000000000000002,0.4352150537634409,-5.1000000000000005,21.200000000000003,7.310483870967742,2019,North Carolina,Durham,United States,35.9886,-78.9072,15.0,66.0,39.26387096774194,23.0,70.0,45.15887096774193,0.3,3.9,1.4278709569892474
