,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22170,71385,19260,107943,0,9,3.0,-10.3,19.1,2.4268817204301074,40.54,100.0,83.54381720430108,2,358,183.57930107526883,0.4,8.200000000000001,2.0251344086021508,-5.5,19.5,5.2875000000000005,2020,North Carolina,Greensboro,United States,36.08,-79.8194,13.0,66.0,36.36838709677419,22.0,67.0,41.5175,1.3,26.9,6.6441419731182805
1,2,29795,70802,23010,128429,0,9,4.0,-8.8,18.2,4.391666666666667,40.55,100.0,85.82315476190476,2,356,203.01488095238096,0.4,7.300000000000001,2.3418154761904764,-6.0,20.200000000000003,6.854464285714285,2020,North Carolina,Greensboro,United States,36.08,-79.8194,16.0,65.0,39.905,21.0,68.0,44.33803571428571,1.3,24.0,7.683121886904763
2,3,55340,112412,34271,185187,0,9,4.0,-6.6000000000000005,21.4,9.218817204301075,40.45,100.0,84.71452956989248,0,359,190.0806451612904,0.2,6.2,2.2443548387096777,-3.3000000000000003,27.9,12.009005376344088,2020,North Carolina,Greensboro,United States,36.08,-79.8194,20.0,71.0,48.593870967741935,26.0,82.0,53.61620967741936,0.7,20.3,7.363369129032259
3,4,50154,177039,39611,221634,0,9,2.0,-2.7,20.9,9.086805555555555,35.13,100.0,77.64865277777777,1,357,223.98888888888888,0.6000000000000001,7.800000000000001,2.4601388888888893,0.5,25.4,13.442083333333334,2020,North Carolina,Greensboro,United States,36.08,-79.8194,27.0,70.0,48.35625,33.0,78.0,56.19575,2.0,25.6,8.071322072222223
4,5,57990,172781,47590,250534,0,9,3.0,-1.8,24.0,13.641801075268818,37.36,100.0,82.74899193548387,5,355,189.28629032258064,0.3,5.9,2.155779569892473,1.6,28.3,16.990053763440862,2020,North Carolina,Greensboro,United States,36.08,-79.8194,29.0,75.0,56.55524193548388,35.0,83.0,62.58209677419355,1.0,19.4,7.072767844086021
5,6,66095,195024,49229,247493,0,9,3.0,8.6,25.0,19.30666666666667,45.64,100.0,84.04272222222222,2,355,187.86944444444444,0.2,5.0,1.7805555555555554,11.3,30.5,22.429027777777776,2020,North Carolina,Greensboro,United States,36.08,-79.8194,47.0,77.0,66.75200000000001,52.0,87.0,72.37225000000001,0.7,16.4,5.841717888888889
6,7,66718,211095,49047,246456,0,9,2.0,18.1,25.0,21.938844086021504,44.85,100.0,78.5358064516129,3,355,202.7728494623656,0.1,3.6,1.2346774193548389,18.7,34.800000000000004,26.455913978494625,2020,North Carolina,Greensboro,United States,36.08,-79.8194,65.0,77.0,71.48991935483872,66.0,95.0,79.62064516129033,0.3,11.8,4.05077906451613
7,8,68663,158641,47355,222410,0,9,3.0,15.5,25.0,21.68790322580645,47.34,100.0,83.61669354838709,2,358,193.26344086021504,0.4,5.6000000000000005,1.3418010752688172,16.3,33.1,25.017204301075267,2020,North Carolina,Greensboro,United States,36.08,-79.8194,60.0,77.0,71.0382258064516,61.0,92.0,77.03096774193548,1.3,18.4,4.402234639784946
8,9,49669,134692,37910,184531,0,8,2.0,4.5,25.1,16.491388888888892,33.58,100.0,81.14427777777777,6,353,129.38055555555556,0.2,5.1000000000000005,1.738888888888889,5.6000000000000005,32.1,20.30375,2020,North Carolina,Greensboro,United States,36.08,-79.8194,40.0,77.0,61.68450000000001,42.0,90.0,68.54675,0.7,16.7,5.705016222222223
9,10,31661,118681,26968,151044,0,8,2.0,2.9000000000000004,23.200000000000003,13.137768817204302,42.3,100.0,84.35114247311827,2,357,155.5,0.2,8.4,1.503225806451613,3.2,27.3,16.14206989247312,2020,North Carolina,Greensboro,United States,36.08,-79.8194,37.0,74.0,55.64798387096774,38.0,81.0,61.05572580645162,0.7,27.6,4.93184335483871
10,11,22247,89362,18537,112223,0,8,2.0,-6.0,23.200000000000003,8.000972222222222,32.24,100.0,82.71281944444445,5,358,180.17222222222225,0.3,6.2,1.6870833333333335,-2.5,23.700000000000003,11.188194444444443,2020,North Carolina,Greensboro,United States,36.08,-79.8194,21.0,74.0,46.40175,28.0,75.0,52.13875,1.0,20.3,5.535050483333333
11,12,21176,76109,18043,98346,0,9,2.0,-10.5,16.1,1.2024193548387097,42.43,100.0,85.4607930107527,3,357,215.78091397849465,0.2,6.2,1.840725806451613,-6.7,18.7,3.656720430107527,2020,North Carolina,Greensboro,United States,36.08,-79.8194,13.0,61.0,34.16435483870968,20.0,66.0,38.582096774193545,0.7,20.3,6.03912685483871
