,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,29685,75136,22959,106694,0,9,4.0,-17,15,3.310483870967742,38.09,100.0,86.28364247311828,0.1,359.70000000000005,206.11155913978496,0.0,1.6,0.4893817204301076,-14,20,5.831989247311828,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,1.0,59.0,37.95887096774194,7.0,68.0,42.49758064516129,0.0,5.2,1.6055831236559142
1,2,33236,111457,25071,128272,0,9,3.0,-10,18,4.976190476190476,30.68,100.0,78.72785714285715,1.0,359.3,226.88705357142857,0.1,1.8,0.5558035714285714,-5,24,9.220238095238097,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,14.0,64.0,40.957142857142856,23.0,75.0,48.596428571428575,0.3,5.9,1.8235025892857144
2,3,51742,151840,37370,186177,0,9,3.0,-15,18,3.872311827956989,24.28,100.0,72.74762096774194,0.1,359.90000000000003,212.3469086021505,0.0,1.6,0.5579301075268818,-4,25,9.439516129032258,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,5.0,64.0,38.97016129032258,25.0,77.0,48.99112903225807,0.0,5.2,1.8304794139784948
3,4,61271,172331,48342,212183,0,9,3.0,-2,23,13.045833333333333,28.98,100.0,79.99261111111112,1.4,359.90000000000003,189.58180555555555,0.0,1.4,0.4029166666666667,1,31,17.583333333333332,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,28.0,73.0,55.4825,34.0,88.0,63.65,0.0,4.6,1.3219051166666669
4,5,71483,194521,51931,245908,0,9,3.0,3,23,15.51478494623656,33.46,100.0,81.76465053763441,1.8,358.3,215.68266129032256,0.0,0.9,0.3053763440860215,6,31,19.681451612903224,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,37.0,73.0,59.92661290322581,43.0,88.0,67.4266129032258,0.0,3.0,1.001890924731183
5,6,77866,205316,49181,246324,0,9,4.0,11,25,18.615277777777777,37.78,100.0,79.41879166666666,1.3,359.5,218.35541666666663,0.1,0.9,0.26,12,33,23.391666666666666,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,52.0,77.0,65.5075,54.0,91.0,74.10499999999999,0.3,3.0,0.8530184000000001
6,7,76862,211198,54055,243908,0,9,3.0,9,25,20.775537634408604,27.7,100.0,76.09931451612903,1.6,360.0,217.23548387096776,0.0,0.7000000000000001,0.2231182795698924,15,37,26.618279569892472,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,48.0,77.0,69.3959677419355,59.0,99.0,79.91290322580645,0.0,2.3,0.7320153763440859
7,8,73647,175609,49427,222010,0,9,4.0,11,26,19.58333333333333,28.63,100.0,78.12358870967742,0.3,359.40000000000003,163.1693548387097,0.0,0.7000000000000001,0.225,15,35,24.872311827956988,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,52.0,79.0,67.25,59.0,95.0,76.77016129032258,0.0,2.3,0.738189
8,9,50971,146871,39732,183884,0,9,2.0,4,23,16.65277777777778,30.78,100.0,78.22586111111112,0.4,359.20000000000005,161.15944444444446,0.0,0.9,0.2963888888888889,11,34,21.718055555555555,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,39.0,73.0,61.975,52.0,93.0,71.0925,0.0,3.0,0.9724045222222224
9,10,35623,127820,27107,151872,0,9,2.0,-2,24,11.990591397849462,27.85,100.0,76.08294354838709,1.3,359.90000000000003,175.919623655914,0.0,1.1,0.305510752688172,2,31,17.471774193548388,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,28.0,75.0,53.58306451612903,36.0,88.0,63.4491935483871,0.0,3.6,1.0023318978494622
10,11,26075,90891,23918,110774,0,9,3.0,-10,18,4.822222222222222,25.92,100.0,76.965375,0.9,359.6,178.88222222222225,0.0,1.2000000000000002,0.3275,-2,27,9.547222222222222,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,14.0,64.0,40.68,28.0,81.0,49.185,0.0,3.9,1.0744751
11,12,24242,69523,21400,96176,0,9,4.0,-16,16,0.4516129032258064,28.39,100.0,78.55387096774194,0.1,359.8,203.676747311828,0.0,1.2000000000000002,0.3551075268817204,-6,21,4.450268817204301,2017,North Carolina,Raleigh,United States,35.7806,-78.6389,3.0,61.0,32.81290322580645,21.0,70.0,40.01048387096774,0.0,3.9,1.1650509784946237
