,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23177,85494,19587,111145,0,8,2.0,-19.9,17.0,-4.479704301075269,24.14,100.0,70.77360215053763,1,358,203.8561827956989,0.2,5.7,1.9759408602150537,-13.7,19.3,0.7653225806451612,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,-4.0,63.0,23.93653225806452,7.0,67.0,33.37758064516129,0.7,18.7,6.482745811827956
1,2,26889,64332,23830,126200,0,9,4.0,-13.2,19.1,6.436309523809523,30.92,100.0,84.58869047619048,4,357,182.84375,0.4,6.0,2.2953869047619047,-7.1000000000000005,24.0,9.189583333333337,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,8.0,66.0,43.58535714285714,19.0,75.0,48.541250000000005,1.3,19.7,7.530797172619047
2,3,42298,133176,35218,189332,0,9,3.0,-8.200000000000001,16.2,1.849731182795699,30.47,100.0,76.35620967741936,1,359,198.6478494623656,0.4,7.2,2.5373655913978497,-4.2,23.3,6.244623655913978,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,17.0,61.0,35.32951612903226,24.0,74.0,43.24032258064516,1.3,23.6,8.32469052688172
3,4,56811,165116,43578,219506,0,9,3.0,-5.2,19.0,7.684861111111112,29.18,100.0,75.7608888888889,1,359,204.42361111111111,0.2,6.1000000000000005,2.3622222222222224,-2.4000000000000004,25.1,12.427361111111113,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,23.0,66.0,45.83275,28.0,77.0,54.36925000000001,0.7,20.0,7.750073155555556
4,5,75351,180744,47063,245698,0,9,4.0,3.6,23.5,18.37217741935484,39.66,100.0,84.25532258064516,1,356,192.2298387096774,0.2,4.3,1.6793010752688171,7.0,30.700000000000003,21.47311827956989,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,38.0,74.0,65.06991935483872,45.0,87.0,70.65161290322581,0.7,14.1,5.509518139784946
5,6,71833,201571,49393,246200,0,9,3.0,12.7,24.5,20.247222222222224,45.29,100.0,78.57424999999999,1,358,205.73472222222225,0.2,3.9,1.394027777777778,14.7,33.800000000000004,24.67152777777778,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,55.0,76.0,68.445,58.0,93.0,76.40875,0.7,12.8,4.573582094444445
6,7,73686,186563,50140,247787,0,9,3.0,10.6,24.3,19.41236559139785,28.4,100.0,70.31373655913978,3,356,154.3521505376344,0.2,4.7,1.4380376344086023,14.3,35.7,26.09166666666667,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,51.0,76.0,66.94225806451612,58.0,96.0,78.965,0.7,15.4,4.717971392473119
7,8,62808,181034,46883,223989,0,9,2.0,10.9,24.700000000000003,20.74287634408602,41.01,100.0,80.05674731182796,2,357,203.33198924731184,0.2,3.9,1.2471774193548388,12.3,33.5,24.831989247311828,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,52.0,76.0,69.33717741935484,54.0,92.0,76.69758064516128,0.7,12.8,4.091789564516129
8,9,56839,114092,35754,182414,0,9,3.0,15.1,24.9,20.78,42.81,100.0,83.35990277777778,3,357,138.11388888888888,0.2,7.4,1.828611111111112,15.9,33.300000000000004,24.12875,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,59.0,77.0,69.404,61.0,92.0,75.43175,0.7,24.3,5.99938047777778
9,10,34962,115459,25355,152397,0,8,2.0,-1.7000000000000002,24.0,12.116397849462366,39.05,100.0,82.35786290322581,5,358,194.4220430107527,0.1,7.4,1.7045698924731183,0.7000000000000001,30.5,15.465725806451612,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,29.0,75.0,53.80951612903226,33.0,87.0,59.8383064516129,0.3,24.3,5.592421086021505
10,11,23114,73580,19786,112209,0,9,3.0,-9.1,19.700000000000003,3.9930555555555554,38.11,100.0,84.49956944444445,1,357,182.0305555555556,0.4,5.300000000000001,1.8938888888888887,-5.300000000000001,21.8,6.685833333333334,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,16.0,67.0,39.1875,22.0,71.0,44.0345,1.3,17.4,6.213546422222222
11,12,25172,60918,19104,97851,0,8,4.0,-13.5,18.3,2.931720430107528,45.76,100.0,86.58533602150537,3,357,191.11559139784947,0.3,6.1000000000000005,1.814247311827957,-7.0,20.0,5.170295698924732,2018,North Carolina,Winston-Salem,United States,36.1028,-80.2605,8.0,65.0,37.27709677419355,19.0,68.0,41.30653225806452,1.0,20.0,5.952255150537634
