,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,18263,51621,14798,69477,0,9,4.0,-36.8,1.2000000000000002,-13.518817204301076,50.23,100.0,77.00806451612904,0,358,209.0510752688172,0.3,13.1,3.956720430107527,-32.6,6.2,-10.193548387096774,2019,North Dakota,Bismarck,United States,46.8133,-100.779,-34.0,34.0,7.666129032258063,-27.0,43.0,13.651612903225807,1.0,43.0,12.98136665591398
1,2,26002,73407,21091,98581,0,9,5.0,-35.800000000000004,0.7000000000000001,-19.98779761904762,59.82,100.0,78.66799107142857,1,357,192.7395833333333,0.3,9.1,3.3572916666666663,-33.1,3.1,-17.151488095238097,2019,North Dakota,Bismarck,United States,46.8133,-100.779,-32.0,33.0,-3.978035714285717,-28.0,38.0,1.127321428571424,1.0,29.9,11.014736791666666
2,3,38512,133035,30127,165682,0,9,4.0,-30.5,5.300000000000001,-7.722849462365591,30.04,100.0,76.11338709677419,2,358,236.489247311828,0.5,10.8,3.8905913978494624,-27.1,15.9,-3.677956989247312,2019,North Dakota,Bismarck,United States,46.8133,-100.779,-23.0,42.0,18.098870967741934,-17.0,61.0,25.37967741935484,1.6,35.4,12.76440788172043
3,4,56621,128318,35821,205648,0,9,4.0,-11.5,12.2,-0.5201388888888889,17.29,100.0,64.60366666666667,1,359,183.41805555555555,0.5,9.5,3.808472222222222,-5.2,24.0,6.568055555555556,2019,North Dakota,Bismarck,United States,46.8133,-100.779,11.0,54.0,31.06375,23.0,75.0,43.822500000000005,1.6,31.2,12.494988005555555
4,5,64686,160611,46270,248702,0,9,4.0,-7.1000000000000005,15.1,3.5471774193548384,21.78,100.0,64.4486559139785,3,358,162.67069892473117,0.3,8.4,3.442204301075269,-2.6,29.200000000000003,10.916801075268818,2019,North Dakota,Bismarck,United States,46.8133,-100.779,19.0,59.0,38.38491935483871,27.0,85.0,51.65024193548388,1.0,27.6,11.293321559139786
5,6,63932,198199,42806,254382,0,9,3.0,0.4,23.3,11.17027777777778,22.85,100.0,62.59291666666667,3,360,206.55416666666667,0.4,7.2,2.900138888888889,8.1,34.5,19.44222222222222,2019,North Dakota,Bismarck,United States,46.8133,-100.779,33.0,74.0,52.1065,47.0,94.0,66.996,1.3,23.6,9.51489167222222
6,7,56418,205414,38026,252566,0,9,3.0,0.0,22.5,14.077688172043011,19.89,100.0,61.06354838709677,3,355,185.9811827956989,0.3,8.0,2.7056451612903225,12.6,33.7,23.082123655913986,2019,North Dakota,Bismarck,United States,46.8133,-100.779,32.0,72.0,57.33983870967742,55.0,93.0,73.54782258064517,1.0,26.2,8.876788870967742
7,8,50540,157573,36068,217091,0,9,3.0,4.4,20.9,12.67231182795699,23.63,100.0,63.59823924731183,1,360,210.6599462365592,0.5,8.6,3.0244623655913982,8.9,32.2,20.69193548387097,2019,North Dakota,Bismarck,United States,46.8133,-100.779,40.0,70.0,54.81016129032258,48.0,90.0,69.24548387096775,1.6,28.2,9.922777107526883
8,9,36569,105137,27133,163250,0,9,3.0,2.7,20.8,10.907777777777778,32.61,100.0,74.50955555555555,0,356,197.32777777777773,0.5,8.4,3.594722222222223,3.9,32.1,16.084583333333335,2019,North Dakota,Bismarck,United States,46.8133,-100.779,37.0,69.0,51.634,39.0,90.0,60.95225000000001,1.6,27.6,11.793708455555558
9,10,30334,70386,22746,119385,0,9,4.0,-13.6,13.6,-0.9295698924731184,32.84,100.0,75.41483870967741,1,359,244.71236559139783,0.4,10.5,4.35739247311828,-9.6,24.700000000000003,3.3736559139784945,2019,North Dakota,Bismarck,United States,46.8133,-100.779,8.0,56.0,30.32677419354839,15.0,76.0,38.07258064516129,1.3,34.4,14.295907521505375
10,11,19208,46495,14784,74119,0,8,4.0,-21.3,4.4,-5.100138888888889,38.38,100.0,79.750625,1,357,230.63194444444449,0.4,8.3,3.761527777777778,-14.2,10.6,-1.8681944444444447,2019,North Dakota,Bismarck,United States,46.8133,-100.779,-6.0,40.0,22.81975,6.0,51.0,28.63725,1.3,27.2,12.340970794444443
11,12,17164,40172,13450,57472,0,8,5.0,-27.4,1.7000000000000002,-9.131182795698924,55.19,100.0,85.48584677419355,1,359,231.4529569892473,0.6000000000000001,9.1,3.4146505376344085,-23.0,4.4,-7.078225806451613,2019,North Dakota,Bismarck,United States,46.8133,-100.779,-17.0,35.0,15.563870967741934,-9.0,40.0,19.259193548387096,2.0,29.9,11.202922069892471
