,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19750,45792,14378,68144,0,9,5.0,-32.0,0.8,-15.568548387096774,51.6,100.0,78.29827956989247,3,360,225.98387096774192,0.1,9.7,3.831451612903226,-27.4,3.3000000000000003,-12.486693548387096,2018,North Dakota,Fargo,United States,46.877,-96.7846,-26.0,33.0,3.9766129032258064,-17.0,38.0,9.523951612903224,0.3,31.8,12.57037970967742
1,2,23492,77312,18234,98278,0,8,5.0,-30.200000000000003,0.0,-16.829464285714284,37.25,100.0,72.06638392857143,2,358,219.7366071428572,0.4,9.4,3.805505952380953,-25.8,6.0,-12.65327380952381,2018,North Dakota,Fargo,United States,46.877,-96.7846,-22.0,32.0,1.7069642857142888,-14.0,43.0,9.22410714285714,1.3,30.8,12.485256148809526
2,3,42261,118132,31492,161113,0,8,4.0,-17.8,1.4,-5.888709677419355,22.52,100.0,72.18501344086022,1,358,181.9005376344086,0.2,9.6,3.699193548387097,-12.8,13.1,-1.0123655913978495,2018,North Dakota,Fargo,United States,46.877,-96.7846,-0.0,35.0,21.40032258064516,9.0,56.0,30.17774193548387,0.7,31.5,12.136462161290323
3,4,54356,170513,37612,209830,0,9,4.0,-23.5,16.0,-5.0175,21.04,100.0,58.70740277777778,1,359,175.04583333333332,0.3,10.8,3.7283333333333335,-13.6,25.9,3.234722222222222,2018,North Dakota,Fargo,United States,46.877,-96.7846,-10.0,61.0,22.9685,8.0,79.0,37.8225,1.0,35.4,12.232065133333334
4,5,64054,179660,43426,244335,0,9,3.0,-6.300000000000001,20.5,8.931854838709677,21.03,100.0,60.39923387096774,1,359,174.71505376344086,0.3,7.800000000000001,3.1169354838709675,0.1,35.300000000000004,17.97983870967742,2018,North Dakota,Fargo,United States,46.877,-96.7846,21.0,69.0,48.07733870967742,32.0,96.0,64.36370967741937,1.0,25.6,10.226166612903224
5,6,72902,189389,43053,250336,0,9,4.0,3.1,22.700000000000003,14.432916666666667,23.41,100.0,66.74612499999999,0,359,160.15555555555557,0.4,8.5,3.2515277777777776,9.4,33.4,21.81611111111112,2018,North Dakota,Fargo,United States,46.877,-96.7846,38.0,73.0,57.97925,49.0,92.0,71.269,1.3,27.9,10.667742394444444
6,7,59173,198824,39176,250691,0,9,2.0,5.5,24.8,14.746774193548388,21.81,100.0,64.442688172043,3,358,212.8534946236559,0.3,7.5,2.6266129032258063,10.9,34.300000000000004,22.797043010752688,2018,North Dakota,Fargo,United States,46.877,-96.7846,42.0,77.0,58.5441935483871,52.0,94.0,73.03467741935484,1.0,24.6,8.617496677419354
7,8,61049,166244,52205,207928,0,9,2.0,4.9,21.9,13.109543010752688,19.45,100.0,62.95211021505376,0,360,188.94489247311827,0.3,7.4,2.6061827956989245,8.700000000000001,38.5,21.75766129032258,2018,North Dakota,Fargo,United States,46.877,-96.7846,41.0,71.0,55.59717741935484,48.0,101.0,71.16379032258064,1.0,24.3,8.55046876344086
8,9,44282,110829,29675,161418,0,9,3.0,-8.0,21.6,8.352777777777778,25.27,100.0,66.75275,1,358,185.25972222222225,0.4,9.1,3.330138888888889,0.6000000000000001,34.1,15.382361111111113,2018,North Dakota,Fargo,United States,46.877,-96.7846,18.0,71.0,47.035,33.0,93.0,59.68825,1.3,29.9,10.925652872222225
9,10,24117,63973,19737,117458,0,8,3.0,-9.9,11.8,0.1831989247311828,33.83,100.0,76.56298387096774,1,355,209.5456989247312,0.5,8.5,3.446236559139785,-6.6000000000000005,20.9,4.411021505376344,2018,North Dakota,Fargo,United States,46.877,-96.7846,14.0,53.0,32.32975806451613,20.0,70.0,39.93983870967742,1.6,27.9,11.306550752688173
10,11,22021,43210,16369,73286,0,9,5.0,-21.9,2.3000000000000003,-8.919444444444444,42.93,100.0,75.67200000000001,1,358,223.0555555555556,0.2,7.1000000000000005,3.2355555555555555,-16.7,8.1,-5.095416666666667,2018,North Dakota,Fargo,United States,46.877,-96.7846,-7.0,36.0,15.945,2.0,47.0,22.82825,0.7,23.3,10.615340088888887
11,12,16970,38009,12621,56858,0,8,4.0,-28.1,1.9,-9.626478494623656,47.94,100.0,81.74795698924731,1,358,200.630376344086,0.3,9.9,3.423521505376344,-25.700000000000003,5.1000000000000005,-6.92486559139785,2018,North Dakota,Fargo,United States,46.877,-96.7846,-19.0,35.0,14.67233870967742,-14.0,41.0,19.535241935483867,1.0,32.5,11.232026295698924
