,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,19807,41568,15326,63919,0,8,5.0,-37.4,-0.4,-14.663575268817205,60.15,100.0,84.85712365591398,2,360,211.41397849462365,0.4,9.2,3.2471774193548386,-33.800000000000004,0.1,-12.646774193548389,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,-35.0,31.0,5.605564516129032,-29.0,32.0,9.235806451612898,1.3,30.2,10.65346956451613
1,2,21809,78536,17856,94423,0,8,5.0,-36.2,-0.3,-14.428720238095238,58.09,100.0,83.81653273809523,5,360,236.1190476190476,0.2,10.8,3.5190476190476194,-33.2,1.6,-12.249107142857142,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,-33.0,31.0,6.0283035714285695,-28.0,35.0,9.951607142857146,0.7,35.4,11.545432190476191
2,3,39557,123120,31519,162167,0,9,4.0,-20.200000000000003,5.800000000000001,-5.886559139784946,26.53,100.0,72.24022849462366,3,359,202.44623655913972,0.2,10.6,4.134139784946237,-16.900000000000002,16.1,-0.9647849462365592,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,-4.0,42.0,21.4041935483871,2.0,61.0,30.263387096774192,0.7,34.8,13.563451172043012
3,4,56531,160302,40064,207450,0,9,3.0,-17.2,10.3,-2.5795833333333333,28.46,100.0,67.56595833333333,1,358,234.39444444444445,0.4,9.2,3.5125,-15.9,21.5,3.5559722222222225,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,1.0,51.0,27.35675,3.0,71.0,38.40075,1.3,30.2,11.5239505
4,5,60347,187912,42172,249644,0,9,3.0,-8.9,16.3,5.288575268817205,23.89,100.0,66.69674731182795,1,358,186.3508064516129,0.5,8.700000000000001,3.402016129032258,-4.1000000000000005,27.5,12.078897849462368,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,16.0,61.0,41.51943548387097,25.0,82.0,53.742016129032265,1.6,28.5,11.161470596774192
5,6,61199,198205,41070,252394,0,9,3.0,4.4,25.5,13.96763888888889,27.72,100.0,68.24677777777778,1,358,208.45277777777773,0.4,8.5,3.611944444444444,8.6,33.800000000000004,20.679166666666667,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,40.0,78.0,57.14175,47.0,93.0,69.2225,1.3,27.9,11.85021181111111
6,7,52423,214353,35612,251611,0,9,2.0,8.3,25.0,16.330779569892474,34.230000000000004,100.0,69.46322580645162,1,357,210.0497311827957,0.2,7.7,2.646370967741936,13.3,33.2,22.710618279569893,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,47.0,77.0,61.39540322580645,56.0,92.0,72.8791129032258,0.7,25.3,8.682319725806453
7,8,46553,168652,36706,213536,0,9,2.0,2.8000000000000003,22.6,13.759408602150538,25.48,100.0,67.02038978494623,0,359,202.0282258064516,0.3,9.1,2.5958333333333337,9.1,32.5,20.948387096774194,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,37.0,73.0,56.76693548387097,48.0,90.0,69.70709677419356,1.0,29.9,8.516513833333335
8,9,43926,121402,30920,158565,0,9,2.0,-4.0,16.5,6.305833333333333,25.11,100.0,62.9515138888889,5,358,239.14444444444445,0.4,8.200000000000001,3.4659722222222222,2.0,28.5,13.995694444444444,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,25.0,62.0,43.3505,36.0,83.0,57.19225,1.3,26.9,11.371300305555556
9,10,28897,76124,20857,113863,0,9,3.0,-13.9,15.6,-3.221370967741936,25.98,100.0,65.3696370967742,2,359,239.0981182795699,0.2,9.9,3.4860215053763444,-10.2,22.5,3.2196236559139786,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,7.0,60.0,26.20153225806452,14.0,72.0,37.79532258064516,0.7,32.5,11.437078795698923
10,11,18888,45463,14375,67468,0,8,3.0,-14.7,11.8,-4.6450000000000005,34.65,100.0,75.35938888888889,1,356,221.73888888888888,0.3,9.4,3.5336111111111115,-10.7,21.1,-0.5356944444444445,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,6.0,53.0,23.639,13.0,70.0,31.03575,1.0,30.8,11.593212677777778
11,12,15252,34326,11873,52463,0,8,4.0,-31.8,1.7000000000000002,-9.73266129032258,47.45,100.0,80.85063172043012,3,359,227.2755376344086,0.2,12.5,3.2669354838709674,-26.0,4.3,-6.870564516129032,2020,North Dakota,Grand Forks,United States,47.9257,-97.0361,-25.0,35.0,14.481209677419354,-15.0,40.0,19.632983870967745,0.7,41.0,10.718292612903223
