,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,18258,45589,18368,67798,0,9,4.0,-37,0,-13.775537634408602,56.81,100.0,81.82748655913979,0.5,358.90000000000003,243.496370967742,0.3,8.5,3.0946236559139786,-34,1,-11.71236559139785,2017,North Dakota,West Fargo,United States,46.8717,-96.895,-35.0,32.0,7.204032258064515,-29.0,34.0,10.917741935483871,1.0,27.9,10.152965075268815
1,2,26619,69161,19775,95033,0,9,4.0,-28,8,-8.455357142857142,36.58,100.0,77.4948511904762,0.2,359.90000000000003,202.5172619047619,0.4,8.8,3.815178571428572,-25,14,-5.278273809523809,2017,North Dakota,West Fargo,United States,46.8717,-96.895,-18.0,46.0,16.78035714285714,-13.0,57.0,22.49910714285714,1.3,28.9,12.516990464285715
2,3,42074,114460,31129,156817,0,8,5.0,-29,10,-7.547043010752688,20.79,100.0,64.03608870967741,0.1,359.90000000000003,159.6909946236559,0.4,14.1,4.345698924731183,-20,18,-1.0887096774193548,2017,North Dakota,West Fargo,United States,46.8717,-96.895,-20.0,50.0,18.41532258064516,-4.0,64.0,30.04032258064516,1.3,46.3,14.257542860215054
3,4,57474,155238,41892,201938,0,9,5.0,-8,14,0.2416666666666666,22.37,100.0,68.02940277777778,0.0,359.8,144.42777777777778,0.2,9.4,3.665,-4,23,6.736111111111111,2017,North Dakota,West Fargo,United States,46.8717,-96.895,18.0,57.0,32.435,25.0,73.0,44.125,0.7,30.8,12.0242786
4,5,68791,176634,46378,245936,0,9,4.0,-3,14,5.317204301075269,21.92,100.0,65.63405913978494,0.5,359.90000000000003,191.0032258064516,0.4,8.200000000000001,3.4001344086021508,3,28,13.126344086021506,2017,North Dakota,West Fargo,United States,46.8717,-96.895,27.0,57.0,41.57096774193548,37.0,82.0,55.62741935483871,1.3,26.9,11.15529697311828
5,6,67837,205990,45826,251805,0,9,3.0,0,23,10.334722222222222,22.04,100.0,61.328916666666665,0.5,359.8,240.02625000000003,0.2,7.0,3.294583333333333,7,33,19.64583333333333,2017,North Dakota,West Fargo,United States,46.8717,-96.895,32.0,73.0,50.6025,45.0,91.0,67.36249999999998,0.7,23.0,10.809000783333332
6,7,61546,211937,45282,248233,0,9,3.0,6,23,13.34274193548387,21.71,100.0,61.1916935483871,0.5,358.70000000000005,192.45282258064515,0.2,6.300000000000001,2.513709677419355,10,37,22.967741935483872,2017,North Dakota,West Fargo,United States,46.8717,-96.895,43.0,73.0,56.01693548387097,50.0,99.0,73.34193548387097,0.7,20.7,8.247079258064517
7,8,61847,173494,48762,210406,0,9,3.0,5,18,11.827956989247312,21.81,100.0,68.52344086021506,0.1,359.3,184.7134408602151,0.1,5.6000000000000005,2.3358870967741936,9,32,19.271505376344088,2017,North Dakota,West Fargo,United States,46.8717,-96.895,41.0,64.0,53.29032258064517,48.0,90.0,66.68870967741935,0.3,18.4,7.663671822580645
8,9,43228,117802,39170,154934,0,9,3.0,1,22,9.245833333333334,16.82,100.0,71.77158333333334,0.1,359.1,203.96194444444444,0.5,9.4,3.289861111111112,4,34,15.8375,2017,North Dakota,West Fargo,United States,46.8717,-96.895,34.0,72.0,48.6425,39.0,93.0,60.5075,1.6,30.8,10.79350792777778
9,10,28421,83299,24156,114037,0,9,4.0,-10,16,1.3615591397849462,22.48,100.0,68.56942204301076,0.5,359.40000000000003,242.3997311827957,0.4,11.8,3.900672043010753,-6,25,7.557795698924731,2017,North Dakota,West Fargo,United States,46.8717,-96.895,14.0,61.0,34.450806451612905,21.0,77.0,45.604032258064514,1.3,38.7,12.797480865591398
10,11,21102,47110,17922,70209,0,9,5.0,-19,5,-5.738888888888889,30.4,100.0,75.175375,0.1,358.5,232.0586111111112,0.4,10.2,3.5984722222222225,-12,10,-2.0236111111111112,2017,North Dakota,West Fargo,United States,46.8717,-96.895,-2.0,41.0,21.67,10.0,50.0,28.3575,1.3,33.5,11.806011605555556
11,12,16322,44547,16003,55393,0,9,5.0,-36,0,-12.766129032258064,42.27,100.0,72.30525537634409,0.0,358.6,254.3459677419355,0.4,11.0,3.517741935483872,-30,5,-9.041666666666666,2017,North Dakota,West Fargo,United States,46.8717,-96.895,-33.0,32.0,9.020967741935484,-22.0,41.0,15.725,1.3,36.1,11.541148451612903
