,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25204,61617,19887,90916,0,8,4.0,-24.1,3.9,-6.387903225806452,43.82,100.0,82.96393817204302,0,359,211.93951612903223,0.5,9.7,3.6681451612903215,-18.8,7.5,-3.782795698924731,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,-11.0,39.0,20.501774193548385,-2.0,46.0,25.190967741935484,1.6,31.8,12.034597370967738
1,2,25326,88368,19174,115206,0,9,3.0,-27.200000000000003,7.1000000000000005,-6.079910714285715,37.25,100.0,73.60125000000001,5,359,195.14732142857144,0.5,10.3,3.73184523809524,-19.9,14.8,-1.6404761904761906,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,-17.0,45.0,21.056160714285717,-4.0,59.0,29.047142857142852,1.6,33.8,12.243587130952385
2,3,40970,110220,31375,175094,0,9,3.0,-12.7,15.0,1.436962365591398,30.96,100.0,76.7445430107527,2,359,189.5981182795699,0.5,11.1,3.692741935483871,-8.1,20.4,5.765860215053764,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,9.0,59.0,34.58653225806452,17.0,69.0,42.37854838709678,1.6,36.4,12.115295451612903
3,4,47710,169438,41064,214476,0,9,2.0,-12.1,15.6,3.255138888888889,28.25,100.0,68.23391666666666,3,359,214.4305555555556,0.5,10.8,3.794305555555556,-6.300000000000001,28.3,9.70875,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,10.0,60.0,37.85925,21.0,83.0,49.475750000000005,1.6,35.4,12.44850943888889
4,5,62980,139085,46690,249128,0,9,3.0,-4.2,21.1,10.18494623655914,28.32,100.0,73.71586021505377,2,358,190.05241935483872,0.6000000000000001,10.4,3.220295698924731,0.8,28.3,15.5,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,24.0,70.0,50.33290322580645,33.0,83.0,59.900000000000006,2.0,34.1,10.565274940860215
5,6,62482,212167,44737,250411,0,9,3.0,9.2,25.1,18.959722222222226,35.76,100.0,71.95497222222222,1,357,183.93194444444444,0.3,8.5,3.6495833333333336,13.7,33.7,25.02208333333333,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,49.0,77.0,66.1275,57.0,93.0,77.03975,1.0,27.9,11.973698983333334
6,7,64993,211410,42898,249644,0,9,3.0,11.3,25.0,19.83924731182796,28.22,100.0,70.9493682795699,4,358,161.70698924731184,0.3,6.5,2.45497311827957,16.1,37.7,26.23239247311828,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,52.0,77.0,67.71064516129033,61.0,100.0,79.2183064516129,1.0,21.3,8.054374005376344
7,8,53733,194802,39286,223096,0,9,2.0,1.3,24.6,15.916129032258064,18.64,100.0,60.78346774193549,2,358,172.39247311827958,0.4,6.1000000000000005,2.847983870967742,13.2,37.7,25.25120967741936,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,34.0,76.0,60.64903225806452,56.0,100.0,77.45217741935485,1.3,20.0,9.343779403225806
8,9,43681,134085,43367,170094,0,9,2.0,-1.6,19.9,9.936527777777778,16.23,100.0,62.27970833333333,7,354,184.57361111111112,0.3,8.0,3.069166666666667,6.6000000000000005,36.5,18.62972222222222,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,29.0,68.0,49.88575,44.0,98.0,65.5335,1.0,26.2,10.069444766666669
9,10,30495,106253,25705,135650,0,9,3.0,-11.7,16.1,1.451478494623656,19.65,100.0,61.327069892473126,0,359,201.2728494623656,0.5,8.5,3.4034946236559143,-6.2,30.4,9.53010752688172,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,11.0,61.0,34.61266129032258,21.0,87.0,49.1541935483871,1.6,27.9,11.16632130107527
10,11,18580,75752,17131,93456,0,9,2.0,-13.8,16.900000000000002,0.2966666666666666,18.04,100.0,70.53122222222223,1,356,215.30138888888888,0.6000000000000001,9.2,3.652222222222222,-7.2,25.3,5.93138888888889,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,7.0,62.0,32.534,19.0,78.0,42.6765,2.0,30.2,11.982356755555555
11,12,18821,63003,15998,80103,0,8,3.0,-21.3,7.300000000000001,-5.536424731182796,29.86,100.0,74.47372311827957,0,359,224.1854838709677,0.6000000000000001,11.1,3.2646505376344086,-13.2,14.8,-1.2579301075268816,2020,Nebraska,Bellevue,United States,41.1511,-95.9003,-6.0,45.0,22.034435483870965,8.0,59.0,29.73572580645161,2.0,36.4,10.710796069892472
