,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23219,69979,18399,92579,0,8,3.0,-20.0,2.8000000000000003,-6.267204301075269,36.53,100.0,80.98084677419355,1,358,214.66129032258064,0.5,9.8,3.3987903225806457,-16.6,8.1,-3.2978494623655914,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,-4.0,37.0,20.71903225806452,2.0,47.0,26.06387096774193,1.6,32.2,11.150887241935486
1,2,25663,88172,18302,117390,0,9,3.0,-24.700000000000003,6.7,-6.777678571428572,27.7,100.0,68.23907738095238,1,358,210.3720238095238,0.3,10.9,3.8136904761904766,-18.0,15.5,-1.2308035714285714,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,-12.0,44.0,19.80017857142857,-0.0,60.0,29.78455357142857,1.0,35.8,12.512108261904764
2,3,39942,109447,29286,178260,0,9,3.0,-14.3,13.4,0.4791666666666667,26.71,100.0,74.41815860215054,0,360,192.2284946236559,0.4,11.7,3.887768817204301,-9.4,20.9,5.3267473118279565,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,6.0,56.0,32.8625,15.0,70.0,41.58814516129032,1.3,38.4,12.75514744623656
3,4,51689,173395,40037,217055,0,9,2.0,-15.0,14.4,1.397916666666667,22.68,100.0,62.623916666666666,2,359,207.725,0.4,11.1,4.016944444444444,-6.5,27.0,9.177083333333334,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,5.0,58.0,34.51625,20.0,81.0,48.51875,1.3,36.4,13.178952011111113
4,5,64486,167068,48185,250311,0,9,3.0,-6.2,20.1,8.946102150537634,26.26,100.0,71.94798387096775,0,359,171.56586021505376,0.6000000000000001,8.200000000000001,3.4276881720430112,-1.0,30.1,14.64771505376344,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,21.0,68.0,48.10298387096774,30.0,86.0,58.36588709677419,2.0,26.9,11.245696462365594
5,6,61606,213966,45283,251930,0,9,2.0,6.6000000000000005,24.3,17.243194444444445,32.68,100.0,67.63013888888888,1,359,182.32916666666668,0.3,9.5,4.028333333333333,12.5,34.1,24.29319444444445,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,44.0,76.0,63.03775,54.0,93.0,75.72775000000001,1.0,31.2,13.216317133333334
6,7,58702,221609,41815,251342,0,9,3.0,12.4,23.9,19.56411290322581,36.88,100.0,75.20100806451613,2,358,150.98924731182797,0.4,6.1000000000000005,2.771370967741936,14.9,37.0,24.70174731182796,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,54.0,75.0,67.21540322580645,59.0,99.0,76.46314516129033,1.3,20.0,9.092424725806453
7,8,48068,207171,41630,223121,0,9,1.0,2.8000000000000003,23.700000000000003,15.581048387096777,22.38,100.0,62.06478494623656,0,359,162.46102150537635,0.3,6.800000000000001,2.9026881720430104,13.1,36.1,24.10524193548387,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,37.0,75.0,60.045887096774194,56.0,97.0,75.38943548387097,1.0,22.3,9.52325546236559
8,9,46243,146468,44636,172040,0,9,1.0,-4.800000000000001,17.7,8.58,17.330000000000002,100.0,58.568958333333335,1,359,186.44444444444449,0.5,8.0,3.245833333333333,3.6,35.6,18.025694444444444,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,23.0,64.0,47.444,38.0,96.0,64.44624999999999,1.6,26.2,10.649059833333332
9,10,31148,109254,25005,137932,0,8,3.0,-14.2,15.5,0.6001344086021505,18.7,100.0,59.05299731182796,0,359,197.2782258064516,0.2,10.1,3.485887096774193,-6.6000000000000005,29.4,9.174193548387096,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,6.0,60.0,33.08024193548387,20.0,85.0,48.513548387096776,0.7,33.1,11.436637822580645
10,11,19001,79666,16250,96030,0,8,2.0,-13.8,14.3,-1.101527777777778,21.4,100.0,64.79443055555555,2,359,223.575,0.3,10.4,3.6894444444444447,-7.2,25.6,5.719166666666667,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,7.0,58.0,30.01725,19.0,78.0,42.2945,1.0,34.1,12.104476911111112
11,12,18836,65624,15853,81623,0,9,3.0,-16.1,3.5,-5.35994623655914,29.13,100.0,70.10506720430108,0,359,234.1008064516129,0.2,11.7,3.331989247311828,-9.2,15.6,-0.2211021505376344,2020,Nebraska,Grand Island,United States,40.9222,-98.3581,3.0,38.0,22.352096774193548,15.0,60.0,31.602016129032258,0.7,38.4,10.931723602150536
