,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,23925,69899,16610,94034,0,9,4.0,-26.4,4.0,-8.970295698924732,31.89,100.0,70.11103494623656,2,358,213.0188172043011,0.6000000000000001,11.6,3.5926075268817206,-21.1,11.2,-4.074596774193548,2018,Nebraska,Kearney,United States,40.7008,-99.0811,-16.0,39.0,15.853467741935482,-6.0,52.0,24.66572580645161,2.0,38.1,11.786770478494624
1,2,29481,85372,19993,119806,0,9,3.0,-21.700000000000003,3.2,-10.16875,23.48,100.0,64.54726190476191,0,359,171.98809523809524,0.7000000000000001,9.8,3.769345238095238,-15.5,13.3,-4.026785714285714,2018,Nebraska,Kearney,United States,40.7008,-99.0811,-7.0,38.0,13.69625,4.0,56.0,24.751785714285717,2.3,32.2,12.36661863095238
2,3,37262,123526,28421,179968,0,9,3.0,-13.1,11.5,-2.8716397849462365,18.74,100.0,64.28510752688172,1,359,177.43682795698925,0.4,11.5,4.223655913978495,-5.2,21.4,4.300537634408602,2018,Nebraska,Kearney,United States,40.7008,-99.0811,8.0,53.0,26.83104838709677,23.0,71.0,39.740967741935485,1.3,37.7,13.857139268817203
3,4,54657,155552,46041,216444,0,9,4.0,-18.5,14.5,-1.577222222222222,21.59,100.0,60.36047222222222,1,357,182.2180555555556,0.4,12.3,4.414166666666668,-8.200000000000001,29.8,6.541388888888889,2018,Nebraska,Kearney,United States,40.7008,-99.0811,-1.0,58.0,29.161,17.0,86.0,43.7745,1.3,40.4,14.482174566666671
4,5,58254,172209,49306,247541,0,9,4.0,3.5,19.700000000000003,12.285349462365591,23.62,100.0,67.17100806451613,1,358,167.16129032258064,0.7000000000000001,6.6000000000000005,3.247849462365592,6.6000000000000005,35.1,19.48024193548387,2018,Nebraska,Kearney,United States,40.7008,-99.0811,38.0,67.0,54.11362903225806,44.0,95.0,67.06443548387097,2.3,21.7,10.65567443010753
5,6,67159,210147,46300,251402,0,9,3.0,6.1000000000000005,24.6,16.83111111111111,25.78,100.0,65.86551388888888,1,359,190.69722222222225,0.5,8.700000000000001,3.720972222222223,11.6,38.400000000000006,24.50236111111112,2018,Nebraska,Kearney,United States,40.7008,-99.0811,43.0,76.0,62.296,53.0,101.0,76.10425000000001,1.6,28.5,12.20791450555556
6,7,64047,215808,44103,252261,0,9,2.0,11.5,23.8,17.51962365591398,32.14,100.0,66.94962365591398,3,357,137.2970430107527,0.4,5.6000000000000005,2.4490591397849464,13.1,36.3,24.72997311827957,2018,Nebraska,Kearney,United States,40.7008,-99.0811,53.0,75.0,63.53532258064516,56.0,97.0,76.51395161290323,1.3,18.4,8.034971188172044
7,8,58656,174338,50789,219559,0,9,3.0,9.0,22.700000000000003,16.709005376344088,33.49,100.0,69.8116935483871,1,358,163.16397849462365,0.5,7.2,2.5305107526881723,10.8,34.4,23.181048387096777,2018,Nebraska,Kearney,United States,40.7008,-99.0811,48.0,73.0,62.07620967741936,51.0,94.0,73.7258870967742,1.6,23.6,8.302200897849463
8,9,42406,132158,29684,178557,0,9,3.0,0.6000000000000001,22.3,13.778472222222222,28.21,100.0,72.83533333333334,3,358,150.4013888888889,0.5,7.300000000000001,3.529861111111111,5.6000000000000005,33.4,19.39138888888889,2018,Nebraska,Kearney,United States,40.7008,-99.0811,33.0,72.0,56.80125,42.0,92.0,66.90450000000001,1.6,24.0,11.580909527777775
9,10,29752,90857,20666,140724,0,9,3.0,-9.7,18.0,3.058198924731183,24.02,100.0,70.28822580645162,1,359,200.51612903225808,0.4,8.8,3.252016129032258,-6.4,32.300000000000004,8.865994623655915,2018,Nebraska,Kearney,United States,40.7008,-99.0811,15.0,64.0,37.50475806451613,20.0,90.0,47.95879032258065,1.3,28.9,10.669344596774192
10,11,22737,70113,17365,97945,0,9,3.0,-18.1,6.4,-3.825972222222223,32.730000000000004,100.0,71.6661111111111,0,359,218.01527777777773,0.5,9.8,3.263888888888889,-11.1,15.4,1.130138888888889,2018,Nebraska,Kearney,United States,40.7008,-99.0811,-1.0,44.0,25.11325,12.0,60.0,34.03425,1.6,32.2,10.708297222222225
11,12,19701,61295,15374,82870,0,9,3.0,-25.8,3.9,-5.987231182795699,40.04,100.0,82.94932795698925,0,358,249.6129032258065,0.5,9.8,3.256048387096774,-20.700000000000003,9.4,-3.3446236559139786,2018,Nebraska,Kearney,United States,40.7008,-99.0811,-14.0,39.0,21.22298387096774,-5.0,49.0,25.97967741935484,1.6,32.2,10.68257379032258
