,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,25871,62638,20316,89763,0,9,4.0,-22,3,-6.678763440860215,36.06,100.0,76.00059139784946,0.1,359.90000000000003,231.46626344086025,0.3,10.2,3.4155913978494628,-18,13,-2.838709677419355,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,-8.0,37.0,19.97822580645161,-0.0,55.0,26.89032258064516,1.0,33.5,11.20600888172043
1,2,30611,87369,21508,114498,0,9,5.0,-17,12,-2.869047619047619,26.2,100.0,71.04297619047618,0.4,359.20000000000005,236.5590773809524,0.3,8.8,3.6517857142857135,-10,21,2.577380952380953,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,1.0,54.0,26.835714285714285,14.0,70.0,36.63928571428571,1.0,28.9,11.98092464285714
2,3,51441,107087,39038,169766,0,9,5.0,-15,16,-0.5779569892473119,19.07,100.0,69.6555376344086,0.1,359.8,145.26048387096773,0.5,11.4,4.295564516129033,-6,27,5.520161290322581,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,5.0,61.0,30.95967741935484,21.0,81.0,41.936290322580646,1.6,37.4,14.093059887096777
3,4,63810,131658,48670,207614,0,9,5.0,-3,18,5.706944444444445,24.28,100.0,75.54279166666666,0.6000000000000001,358.8,181.65597222222223,0.4,10.0,4.048194444444444,0,26,11.394444444444444,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,27.0,64.0,42.2725,32.0,79.0,52.51,1.3,32.8,13.281478261111111
4,5,66967,201882,49306,248758,0,9,3.0,0,21,9.509408602150538,29.78,100.0,72.40514784946237,0.0,359.90000000000003,187.45188172043007,0.4,8.6,3.4643817204301075,1,31,16.047043010752688,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,32.0,70.0,49.11693548387097,34.0,88.0,60.88467741935485,1.3,28.2,11.366082123655914
5,6,68136,221340,49606,249207,0,9,3.0,2,24,15.468055555555557,21.31,100.0,67.87501388888889,2.2,359.40000000000003,206.1943055555556,0.3,8.200000000000001,3.283888888888889,10,35,23.45833333333333,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,36.0,75.0,59.8425,50.0,95.0,74.225,1.0,26.9,10.773914022222222
6,7,65745,209360,47018,247200,0,9,3.0,10,24,17.670698924731184,23.52,100.0,65.24524193548388,0.4,359.90000000000003,162.96370967741936,0.2,6.0,2.3041666666666667,14,40,26.47043010752688,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,50.0,75.0,63.80725806451613,57.0,104.0,79.6467741935484,0.7,19.7,7.559602166666667
7,8,68704,185882,50385,218747,0,9,3.0,5,23,14.713709677419354,25.62,100.0,70.34264784946237,0.3,359.5,168.32809139784948,0.2,5.9,2.299462365591398,12,33,21.93010752688172,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,41.0,73.0,58.48467741935484,54.0,91.0,71.47419354838709,0.7,19.4,7.544168107526882
8,9,53087,141396,43558,169315,0,9,3.0,2,22,12.29861111111111,23.85,100.0,65.08368055555556,0.2,360.0,193.80277777777772,0.3,7.6,3.097638888888889,8,35,20.844444444444445,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,36.0,72.0,54.1375,46.0,95.0,69.52000000000001,1.0,24.9,10.162857572222222
9,10,33294,95607,28004,134322,0,9,3.0,-12,21,5.983870967741935,18.68,100.0,74.23434139784946,2.7,359.8,208.4866935483871,0.2,9.9,3.89744623655914,-5,26,11.46774193548387,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,10.0,70.0,42.77096774193548,23.0,79.0,52.64193548387097,0.7,32.5,12.786897510752688
10,11,24944,72217,20014,92576,0,9,4.0,-12,11,-0.4305555555555556,31.08,100.0,75.51525000000001,0.0,359.6,195.63333333333333,0.2,8.8,3.283472222222222,-6,19,4.240277777777778,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,10.0,52.0,31.225,21.0,66.0,39.6325,0.7,28.9,10.772547005555555
11,12,20183,62594,18173,78586,0,9,4.0,-24,13,-6.983870967741935,32.410000000000004,100.0,68.3099059139785,0.0,359.90000000000003,229.66236559139787,0.3,10.2,3.829435483870968,-18,15,-1.711021505376344,2017,Nebraska,Lincoln,United States,40.8136,-96.7026,-11.0,55.0,19.42903225806452,-0.0,59.0,28.920161290322586,1.0,33.5,12.563765112903226
