,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22890,68875,18493,91448,0,9,4.0,-32.1,5.7,-8.29986559139785,40.74,100.0,79.39211021505376,2,359,207.6491935483871,0.4,10.9,3.7596774193548392,-26.0,11.1,-5.132661290322581,2019,Nebraska,Omaha,United States,41.25,-96.0,-26.0,42.0,17.06024193548387,-15.0,52.0,22.76120967741935,1.3,35.8,12.33490006451613
1,2,29528,88478,25065,117144,0,9,4.0,-25.4,11.5,-10.437202380952382,44.09,100.0,80.09907738095238,2,359,184.60119047619048,0.3,10.0,3.8659226190476192,-23.0,14.5,-7.470535714285714,2019,Nebraska,Omaha,United States,41.25,-96.0,-14.0,53.0,13.213035714285713,-9.0,58.0,18.553035714285716,1.0,32.8,12.683473565476191
2,3,38984,126525,33644,176703,0,9,4.0,-27.1,15.4,-2.594758064516129,36.14,100.0,79.65865591397849,0,359,199.0376344086021,0.6000000000000001,11.5,3.77217741935484,-24.200000000000003,21.3,0.8611559139784947,2019,Nebraska,Omaha,United States,41.25,-96.0,-17.0,60.0,27.329435483870967,-12.0,70.0,33.55008064516129,2.0,37.7,12.375910564516133
3,4,51587,143540,41921,210390,0,9,4.0,-5.2,16.900000000000002,5.991666666666666,34.26,100.0,75.2395,1,359,197.6375,0.4,9.2,4.032916666666667,-3.4000000000000004,26.4,10.787222222222224,2019,Nebraska,Omaha,United States,41.25,-96.0,23.0,62.0,42.785,26.0,80.0,51.417,1.3,30.2,13.231354316666668
4,5,65464,160255,47773,248076,0,9,4.0,0.4,22.9,11.180241935483872,39.87,100.0,78.67518817204302,3,357,187.864247311828,0.4,9.1,3.391263440860215,2.7,32.0,15.282930107526882,2019,Nebraska,Omaha,United States,41.25,-96.0,33.0,73.0,52.12443548387097,37.0,90.0,59.50927419354839,1.3,29.9,11.126192747311828
5,6,64394,192378,44116,251491,0,9,3.0,7.300000000000001,27.5,18.03388888888889,38.12,100.0,80.39993055555556,2,358,192.62222222222223,0.5,7.4,2.6094444444444447,9.7,32.300000000000004,21.92972222222222,2019,Nebraska,Omaha,United States,41.25,-96.0,45.0,82.0,64.461,49.0,90.0,71.4735,1.6,24.3,8.561169711111113
6,7,60136,201574,43012,249863,0,9,2.0,11.7,27.5,20.851344086021506,45.16,100.0,80.77989247311828,0,358,175.63978494623657,0.5,5.9,2.6918010752688173,14.0,34.1,24.67540322580645,2019,Nebraska,Omaha,United States,41.25,-96.0,53.0,82.0,69.53241935483871,57.0,93.0,76.4157258064516,1.6,19.4,8.831368639784946
7,8,55854,168015,40042,221705,0,9,3.0,8.9,25.8,18.37311827956989,33.44,100.0,76.58345430107528,1,356,178.5994623655914,0.5,5.300000000000001,2.4030913978494626,12.0,33.7,23.2119623655914,2019,Nebraska,Omaha,United States,41.25,-96.0,48.0,78.0,65.0716129032258,54.0,93.0,73.78153225806452,1.6,17.4,7.884158381720431
8,9,45510,129945,32601,173308,0,9,3.0,7.5,24.200000000000003,18.12097222222222,31.73,100.0,77.91876388888889,3,356,179.2138888888889,0.4,7.2,3.2436111111111114,9.9,33.800000000000004,22.69763888888889,2019,Nebraska,Omaha,United States,41.25,-96.0,46.0,76.0,64.61775,50.0,93.0,72.85575,1.3,23.6,10.64176907777778
9,10,28874,97442,23249,138571,0,9,3.0,-10.3,22.200000000000003,3.3888440860215057,33.05,100.0,74.2502688172043,2,359,242.51075268817203,0.4,8.700000000000001,3.5190860215053767,-5.9,22.8,8.17029569892473,2019,Nebraska,Omaha,United States,41.25,-96.0,13.0,72.0,38.09991935483871,21.0,73.0,46.70653225806451,1.3,28.5,11.5455581827957
10,11,24418,66139,17734,94238,0,8,3.0,-18.3,13.4,-1.84625,36.58,100.0,77.8705138888889,2,358,227.4680555555556,0.5,9.3,3.4859722222222222,-11.3,16.5,1.919861111111111,2019,Nebraska,Omaha,United States,41.25,-96.0,-1.0,56.0,28.67675,12.0,62.0,35.45575,1.6,30.5,11.436917105555557
11,12,20507,55950,15300,78980,0,9,4.0,-17.6,6.800000000000001,-3.651478494623656,40.29,100.0,83.11227150537634,2,359,238.9422043010753,0.5,10.0,3.375,-12.6,11.7,-0.9655913978494624,2019,Nebraska,Omaha,United States,41.25,-96.0,0.0,44.0,25.42733870967742,9.0,53.0,30.261935483870968,1.6,32.8,11.072835
