,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21646,62746,17695,84133,0,9,4.0,-24.1,8.700000000000001,-9.56989247311828,42.05,100.0,81.25181451612903,2,356,240.51075268817203,0.1,1.3,0.5239247311827957,-21.1,8.700000000000001,-6.798655913978495,2019,New Hampshire,Concord,United States,43.2067,-71.5381,-11.0,48.0,14.774193548387096,-6.0,48.0,19.76241935483871,0.3,4.3,1.7189132150537634
1,2,27864,89912,22674,110879,0,9,4.0,-22.9,8.700000000000001,-7.577380952380952,49.04,100.0,80.94418154761904,2,358,238.3869047619048,0.2,1.9,0.7199404761904762,-17.8,12.1,-4.682440476190476,2019,New Hampshire,Concord,United States,43.2067,-71.5381,-9.0,48.0,18.360714285714288,-0.0,54.0,23.571607142857143,0.7,6.2,2.3620095119047617
2,3,40621,135471,31091,173892,0,8,3.0,-18.2,13.2,-3.8833333333333337,25.32,100.0,79.47310483870967,10,356,234.91129032258064,0.1,1.3,0.5852150537634409,-15.6,16.5,-0.4668010752688172,2019,New Hampshire,Concord,United States,43.2067,-71.5381,-1.0,56.0,25.01,4.0,62.0,31.15975806451613,0.3,4.3,1.9199969569892472
3,4,50977,118017,39717,207450,0,9,4.0,-12.5,18.4,3.4255555555555555,25.0,100.0,78.41223611111111,4,358,212.40277777777777,0.0,0.9,0.295,-4.5,21.3,7.40875,2019,New Hampshire,Concord,United States,43.2067,-71.5381,10.0,65.0,38.166,24.0,70.0,45.33575,0.0,3.0,0.9678478
4,5,62041,143816,45447,247884,0,9,4.0,-2.0,20.4,8.225537634408603,31.12,100.0,78.59233870967742,2,359,188.1505376344086,0.0,0.9,0.1741935483870967,1.6,26.1,12.305779569892474,2019,New Hampshire,Concord,United States,43.2067,-71.5381,28.0,69.0,46.80596774193549,35.0,79.0,54.15040322580646,0.0,3.0,0.5715011612903224
5,6,63081,177247,43253,252470,0,9,3.0,4.0,22.8,13.940555555555555,37.68,100.0,78.97309722222222,1,357,205.09583333333333,0.0,0.8,0.1604166666666666,6.2,28.5,18.125972222222224,2019,New Hampshire,Concord,United States,43.2067,-71.5381,39.0,73.0,57.093,43.0,83.0,64.62675,0.0,2.6,0.5263014166666664
6,7,62189,206101,45797,247794,0,9,3.0,11.4,26.3,18.8114247311828,38.22,100.0,79.31534946236559,3,357,224.99327956989248,0.0,0.9,0.1571236559139785,12.7,33.300000000000004,23.01975806451613,2019,New Hampshire,Concord,United States,43.2067,-71.5381,53.0,79.0,65.86056451612905,55.0,92.0,73.43556451612903,0.0,3.0,0.5154975752688172
7,8,57996,178870,40151,220693,0,9,2.0,7.7,23.4,16.239381720430107,40.99,100.0,77.58280913978494,16,356,219.6491935483871,0.0,0.8,0.1604838709677419,9.9,29.9,20.795430107526883,2019,New Hampshire,Concord,United States,43.2067,-71.5381,46.0,74.0,61.2308870967742,50.0,86.0,69.43177419354839,0.0,2.6,0.5265219032258063
8,9,42527,129970,29108,173148,0,8,2.0,1.9,21.4,11.724027777777776,28.76,100.0,74.99095833333332,4,360,203.61111111111111,0.0,1.0,0.1923611111111111,5.1000000000000005,28.4,16.78763888888889,2019,New Hampshire,Concord,United States,43.2067,-71.5381,35.0,71.0,53.10325,41.0,83.0,62.21775,0.0,3.3,0.6311060277777777
9,10,31238,69396,21353,129682,0,9,4.0,-1.9,19.200000000000003,7.458467741935484,30.56,100.0,79.5595564516129,1,358,172.73790322580646,0.0,1.0,0.2106182795698924,1.9,22.5,11.248387096774191,2019,New Hampshire,Concord,United States,43.2067,-71.5381,29.0,67.0,45.42524193548387,35.0,72.0,52.24709677419354,0.0,3.3,0.6910048763440858
10,11,17503,57176,16707,85443,0,9,3.0,-16.400000000000002,19.3,-3.024027777777778,32.88,100.0,78.83534722222223,1,359,237.97222222222223,0.0,1.0,0.2115277777777778,-10.0,20.700000000000003,0.5648611111111111,2019,New Hampshire,Concord,United States,43.2067,-71.5381,2.0,67.0,26.55675,14.0,69.0,33.01675,0.0,3.3,0.6939887944444445
11,12,19326,47561,15826,71026,0,9,4.0,-20.0,11.0,-4.808198924731183,36.98,100.0,83.62485215053763,0,359,217.38844086021504,0.0,1.0,0.2194892473118279,-15.3,11.1,-2.270295698924732,2019,New Hampshire,Concord,United States,43.2067,-71.5381,-4.0,52.0,23.34524193548387,4.0,52.0,27.913467741935484,0.0,3.3,0.7201091021505375
