,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21213,60644,16145,84047,0,9,4.0,-22.1,10.0,-8.062903225806451,40.71,100.0,84.40029569892474,2,356,240.51075268817203,0.1,1.5,0.5778225806451613,-20.5,10.0,-5.723924731182796,2019,New Hampshire,Derry,United States,42.8806,-71.3272,-8.0,50.0,17.486774193548385,-5.0,50.0,21.696935483870966,0.3,4.9,1.8957434354838711
1,2,26240,85794,21655,111211,0,9,4.0,-21.0,9.7,-6.49985119047619,47.28,100.0,83.41941964285714,2,358,238.3869047619048,0.2,2.0,0.7501488095238096,-17.2,12.1,-3.949553571428571,2019,New Hampshire,Derry,United States,42.8806,-71.3272,-6.0,49.0,20.300267857142856,1.0,54.0,24.89080357142857,0.7,6.6,2.4611182202380952
2,3,40552,135476,29729,174406,0,9,3.0,-16.6,13.4,-3.1586021505376345,28.04,100.0,82.26802419354838,10,356,234.91129032258064,0.1,1.3,0.610483870967742,-14.7,16.6,-0.1911290322580645,2019,New Hampshire,Derry,United States,42.8806,-71.3272,2.0,56.0,26.314516129032256,6.0,62.0,31.655967741935484,0.3,4.3,2.002899903225807
3,4,50211,123362,39580,208344,0,9,4.0,-12.1,18.0,3.880694444444445,25.67,100.0,81.70397222222222,4,358,212.40277777777777,0.0,1.0,0.3094444444444444,-4.7,20.4,7.255416666666667,2019,New Hampshire,Derry,United States,42.8806,-71.3272,10.0,64.0,38.98525,24.0,69.0,45.05975,0.0,3.3,1.015237711111111
4,5,61051,145253,44904,248528,0,8,4.0,-1.3,20.700000000000003,8.443951612903225,33.99,100.0,81.44899193548387,2,359,188.1505376344086,0.0,0.9,0.1696236559139785,1.8,26.0,11.97002688172043,2019,New Hampshire,Derry,United States,42.8806,-71.3272,30.0,69.0,47.19911290322581,35.0,79.0,53.546048387096775,0.0,3.0,0.5565080752688172
5,6,61844,175752,43115,252981,0,9,3.0,4.3,23.1,14.081666666666663,39.99,100.0,81.57954166666667,1,357,205.09583333333333,0.0,0.7000000000000001,0.1559722222222222,6.300000000000001,28.8,17.729027777777777,2019,New Hampshire,Derry,United States,42.8806,-71.3272,40.0,74.0,57.347,43.0,84.0,63.91225,0.0,2.3,0.5117199055555555
6,7,62757,203358,45850,248383,0,9,3.0,12.1,26.3,18.977150537634408,43.97,100.0,81.22600806451614,3,357,224.99327956989248,0.0,0.8,0.1452956989247311,12.9,32.0,22.78709677419355,2019,New Hampshire,Derry,United States,42.8806,-71.3272,54.0,79.0,66.15887096774193,55.0,90.0,73.0167741935484,0.0,2.6,0.4766919408602147
7,8,57666,179175,39924,221764,0,9,2.0,7.7,23.200000000000003,16.225940860215054,36.37,100.0,77.51932795698924,16,356,219.6491935483871,0.0,0.9,0.1549731182795699,10.1,30.4,20.886559139784943,2019,New Hampshire,Derry,United States,42.8806,-71.3272,46.0,74.0,61.20669354838709,50.0,87.0,69.5958064516129,0.0,3.0,0.5084420053763441
8,9,43914,132084,28895,174549,0,8,2.0,0.9,21.1,11.834166666666668,26.52,100.0,74.81093055555556,4,360,203.61111111111111,0.0,1.0,0.1983333333333333,5.6000000000000005,29.4,17.044999999999998,2019,New Hampshire,Derry,United States,42.8806,-71.3272,34.0,70.0,53.3015,42.0,85.0,62.681,0.0,3.3,0.6506999333333332
9,10,32212,71252,21290,131000,0,9,4.0,-2.6,19.0,7.880376344086022,28.14,100.0,80.765,1,358,172.73790322580646,0.0,1.0,0.2489247311827957,2.2,24.0,11.48521505376344,2019,New Hampshire,Derry,United States,42.8806,-71.3272,27.0,66.0,46.18467741935484,36.0,75.0,52.67338709677419,0.0,3.3,0.8166822150537635
10,11,16734,57901,16583,86966,0,9,3.0,-15.6,19.4,-2.1688888888888886,31.76,100.0,81.00390277777777,1,359,237.97222222222223,0.0,1.1,0.2708333333333333,-9.2,20.4,1.0956944444444443,2019,New Hampshire,Derry,United States,42.8806,-71.3272,4.0,67.0,28.096,15.0,69.0,33.97225,0.0,3.6,0.8885608333333332
11,12,19854,49224,16141,72581,0,9,4.0,-18.1,11.7,-3.7092741935483873,39.43,100.0,87.55583333333334,0,359,217.38844086021504,0.0,1.0,0.2915322580645161,-14.5,11.7,-1.779032258064516,2019,New Hampshire,Derry,United States,42.8806,-71.3272,-1.0,53.0,25.323306451612904,6.0,53.0,28.79774193548387,0.0,3.3,0.956470693548387
