,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22419,60768,16942,83874,0,9,5.0,-26.700000000000003,12.2,-8.406854838709677,39.42,100.0,83.3157123655914,2,356,227.752688172043,0.1,1.1,0.5435483870967742,-24.0,12.2,-5.884811827956989,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,-16.0,54.0,16.86766129032258,-11.0,54.0,21.40733870967742,0.3,3.6,1.7832952903225807
1,2,31953,76414,21190,107987,0,9,4.0,-20.4,16.3,-2.9808035714285714,33.5,100.0,86.64337797619048,7,356,231.35267857142856,0.1,1.4,0.6074404761904763,-16.7,19.3,-0.8620535714285713,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,-5.0,61.0,26.63455357142857,2.0,67.0,30.44830357142857,0.3,4.6,1.992915011904762
2,3,47821,123263,28946,175799,0,9,4.0,-20.6,9.0,-2.731048387096774,35.43,100.0,84.1028629032258,2,359,187.28897849462365,0.1,1.9,0.7158602150537635,-17.7,14.4,-0.1337365591397849,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,-5.0,48.0,27.084112903225808,0.0,58.0,31.759274193548386,0.3,6.2,2.3486228279569894
3,4,54208,129809,42198,210194,0,9,4.0,-11.3,12.8,0.8400000000000001,24.23,100.0,78.09440277777777,5,354,212.84166666666667,0.0,1.0,0.2980555555555556,-4.800000000000001,19.9,4.852361111111112,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,12.0,55.0,33.512,23.0,68.0,40.73425,0.0,3.3,0.977872588888889
4,5,62062,172926,43378,248167,0,9,4.0,1.3,21.1,11.041532258064516,35.9,100.0,78.54016129032257,3,358,193.30645161290323,0.0,0.8,0.1512096774193548,4.1000000000000005,27.1,15.267876344086025,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,34.0,70.0,51.87475806451613,39.0,81.0,59.48217741935484,0.0,2.6,0.496094758064516
5,6,67561,175347,42233,253964,0,8,3.0,5.2,23.700000000000003,13.919027777777778,38.35,100.0,78.756625,3,359,205.66944444444445,0.0,0.9,0.1429166666666666,7.6,30.9,18.155833333333334,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,41.0,75.0,57.05425,46.0,88.0,64.6805,0.0,3.0,0.4688867166666665
6,7,59997,205091,43129,249560,0,9,2.0,8.200000000000001,26.0,18.08427419354839,36.68,100.0,77.70712365591397,9,356,199.45430107526883,0.0,0.9,0.1446236559139785,11.2,33.800000000000004,22.79045698924732,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,47.0,79.0,64.5516935483871,52.0,93.0,73.02282258064517,0.0,3.0,0.4744870752688171
7,8,57167,156086,43371,215876,0,9,3.0,9.7,24.4,19.131720430107528,44.08,100.0,83.17705645161291,7,352,194.2755376344086,0.0,0.7000000000000001,0.1432795698924731,13.1,33.0,22.55672043010753,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,49.0,76.0,66.43709677419355,56.0,91.0,72.60209677419356,0.0,2.3,0.4700773440860214
8,9,48272,106541,28679,170817,0,9,4.0,2.8000000000000003,23.9,14.477222222222222,38.33,100.0,80.7322638888889,5,358,175.66805555555555,0.0,0.8,0.1813888888888888,6.800000000000001,32.2,18.30625,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,37.0,75.0,58.059,44.0,90.0,64.95125,0.0,2.6,0.5951079222222219
9,10,27226,68296,22144,128901,0,9,3.0,-8.3,20.5,6.042741935483871,34.33,100.0,82.66016129032259,6,358,215.46102150537635,0.0,0.7000000000000001,0.2172043010752688,-2.4000000000000004,26.9,9.19717741935484,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,17.0,69.0,42.876935483870966,28.0,80.0,48.55491935483872,0.0,2.3,0.7126125591397849
10,11,21600,50214,17337,86752,0,9,4.0,-17.5,17.5,-0.5394444444444445,38.38,100.0,86.70081944444445,3,359,217.8875,0.0,0.8,0.2523611111111111,-15.1,17.7,1.635138888888889,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,0.0,64.0,31.029,5.0,64.0,34.94325,0.0,2.6,0.8279564277777777
11,12,16968,53593,13638,71293,0,9,3.0,-22.0,14.1,-4.523118279569893,39.15,100.0,83.88975806451613,3,360,243.91801075268816,0.0,0.8,0.252016129032258,-19.3,14.1,-1.944489247311828,2018,New Hampshire,Manchester,United States,42.9909,-71.4631,-8.0,57.0,23.858387096774194,-3.0,57.0,28.49991935483871,0.0,2.6,0.8268245967741934
