,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21430,60990,16865,84404,0,9,4.0,-26.4,13.0,-7.840591397849463,39.26,100.0,81.55712365591398,2,356,227.752688172043,0.1,1.4,0.6596774193548387,-23.6,13.3,-5.023790322580646,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,-16.0,55.0,17.886935483870968,-10.0,56.0,22.957177419354835,0.3,4.6,2.164296064516129
1,2,30372,72264,20442,107908,0,9,4.0,-19.700000000000003,16.400000000000002,-2.4458333333333337,33.65,100.0,85.0134375,7,356,231.35267857142856,0.2,1.5,0.6855654761904763,-15.9,19.700000000000003,-0.0568452380952381,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,-3.0,62.0,27.5975,3.0,67.0,31.89767857142857,0.7,4.9,2.249230636904762
2,3,46885,122145,28947,175896,0,9,4.0,-19.200000000000003,9.5,-2.376209677419355,34.79,100.0,82.45487903225806,2,359,187.28897849462365,0.1,2.3000000000000003,0.8208333333333334,-16.1,14.9,0.4889784946236559,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,-3.0,49.0,27.72282258064516,3.0,59.0,32.88016129032258,0.3,7.5,2.693022833333333
3,4,53015,129893,42000,209157,0,9,3.0,-10.6,13.1,1.1587500000000002,23.88,100.0,77.02519444444444,5,354,212.84166666666667,0.0,1.1,0.3645833333333333,-4.2,20.4,5.358611111111111,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,13.0,56.0,34.08575,24.0,69.0,41.6455,0.0,3.6,1.1961395833333333
4,5,62701,173354,44253,247471,0,9,4.0,2.1,21.1,11.43010752688172,35.86,100.0,77.63825268817205,3,358,193.30645161290323,0.0,0.7000000000000001,0.194758064516129,4.5,28.0,15.833736559139789,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,36.0,70.0,52.5741935483871,40.0,82.0,60.50072580645162,0.0,2.3,0.6389700483870967
5,6,68545,171965,42842,253175,0,9,3.0,5.1000000000000005,23.6,14.10763888888889,37.39,100.0,77.12370833333333,3,359,205.66944444444445,0.0,0.9,0.1915277777777778,8.0,31.5,18.69888888888889,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,41.0,74.0,57.39375,46.0,89.0,65.65800000000002,0.0,3.0,0.6283719944444445
6,7,62647,204800,43823,249121,0,9,2.0,7.9,25.9,18.233870967741936,37.42,100.0,75.87075268817205,9,356,199.45430107526883,0.0,0.9,0.1815860215053763,12.0,34.1,23.38185483870968,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,46.0,79.0,64.82096774193548,54.0,93.0,74.08733870967743,0.0,3.0,0.5957546827956988
7,8,57574,154959,44314,215283,0,9,3.0,9.8,24.200000000000003,19.39005376344086,42.5,100.0,81.5067069892473,7,352,194.2755376344086,0.0,0.8,0.1901881720430107,13.6,33.7,23.177150537634407,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,50.0,76.0,66.90209677419355,56.0,93.0,73.71887096774194,0.0,2.6,0.6239769623655912
8,9,49945,104475,29188,170697,0,9,4.0,4.1000000000000005,23.6,14.86277777777778,38.63,100.0,79.67337500000001,5,358,175.66805555555555,0.0,0.8,0.2391666666666667,7.7,33.0,18.90138888888889,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,39.0,74.0,58.753,46.0,91.0,66.02250000000001,0.0,2.6,0.7846675666666667
9,10,27494,69668,22414,129459,0,8,3.0,-8.1,20.6,6.631989247311828,33.18,100.0,81.68189516129033,6,358,215.46102150537635,0.1,0.8,0.2986559139784946,-2.3000000000000003,27.1,9.96760752688172,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,17.0,69.0,43.93758064516129,28.0,81.0,49.94169354838709,0.3,2.6,0.9798422688172044
10,11,20885,50924,17365,87448,0,9,4.0,-17.2,17.8,-0.0523611111111111,38.32,100.0,84.80334722222223,3,359,217.8875,0.0,0.8,0.3508333333333333,-13.9,18.4,2.4458333333333333,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,1.0,64.0,31.90575,7.0,65.0,36.4025,0.0,2.6,1.1510280333333331
11,12,16992,54346,13566,71778,0,9,3.0,-21.5,14.7,-3.904704301075269,38.92,100.0,82.65315860215054,3,360,243.91801075268816,0.1,0.9,0.3475806451612903,-18.5,14.7,-1.1158602150537635,2018,New Hampshire,Nashua,United States,42.7575,-71.4644,-7.0,58.0,24.97153225806452,-1.0,58.0,29.991451612903223,0.3,3.0,1.1403564838709677
