,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22229,61764,17341,83042,0,9,5.0,-22.5,10.5,-7.661155913978494,45.24,100.0,86.29880376344086,2,358,228.7217741935484,0.3,2.7,1.269758064516129,-22.4,10.5,-5.619354838709677,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,-8.0,51.0,18.20991935483871,-8.0,51.0,21.88516129032258,1.0,8.9,4.1658730483870965
1,2,30825,78221,21995,107514,0,9,4.0,-18.5,15.3,-2.8720238095238093,36.34,100.0,86.90377976190477,2,350,228.2127976190476,0.3,2.6,1.1816964285714286,-16.2,17.400000000000002,-0.8409226190476191,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,-1.0,60.0,26.830357142857142,3.0,63.0,30.486339285714287,1.0,8.5,3.876956910714286
2,3,47822,128531,29024,174931,0,9,4.0,-18.1,8.3,-2.5295698924731185,40.93,100.0,84.23188172043011,2,359,189.7284946236559,0.2,3.6,1.4731182795698925,-16.1,13.1,-0.0029569892473118,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,-1.0,47.0,27.446774193548386,3.0,56.0,31.99467741935484,0.7,11.8,4.833065376344086
3,4,53660,131410,42312,209663,0,9,3.0,-10.8,11.6,0.9512500000000002,28.78,100.0,79.01919444444444,2,358,222.68194444444444,0.1,2.4000000000000004,0.8648611111111112,-4.2,17.8,4.6825,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,13.0,53.0,33.71225,24.0,64.0,40.4285,0.3,7.9,2.837470927777778
4,5,64067,182792,43329,248663,0,9,4.0,1.2000000000000002,19.4,10.540591397849465,38.93,100.0,79.78255376344086,3,355,210.41801075268816,0.2,1.6,0.5850806451612903,4.3,25.1,14.39690860215054,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,34.0,67.0,50.97306451612904,40.0,77.0,57.914435483870975,0.7,5.2,1.919555983870968
5,6,66212,172422,41587,254463,0,9,3.0,6.1000000000000005,22.8,13.726805555555554,42.63,100.0,80.63497222222222,4,357,227.66666666666663,0.1,1.1,0.5743055555555555,8.0,27.700000000000003,17.455694444444443,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,43.0,73.0,56.70825,46.0,82.0,63.42025,0.3,3.6,1.884204638888889
6,7,60701,202703,43582,249611,0,9,2.0,9.1,25.0,18.149327956989247,39.72,100.0,80.91392473118279,8,358,213.3172043010753,0.1,1.1,0.5420698924731183,11.9,33.7,21.990591397849464,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,48.0,77.0,64.66879032258065,53.0,93.0,71.58306451612904,0.3,3.6,1.7784445860215057
7,8,58140,158787,42713,216052,0,9,3.0,10.2,23.9,18.98481182795699,47.0,100.0,83.96549731182796,5,352,199.59408602150532,0.1,1.0,0.5486559139784947,13.8,31.3,22.153091397849465,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,50.0,75.0,66.17266129032258,57.0,88.0,71.87556451612903,0.3,3.3,1.8000522688172045
8,9,48261,111417,28678,170473,0,9,4.0,1.1,23.5,14.337916666666668,40.28,100.0,81.07931944444445,2,358,191.4625,0.1,1.5,0.6444444444444445,7.6,30.5,18.007361111111113,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,34.0,74.0,57.80825,46.0,87.0,64.41325,0.3,4.9,2.114319111111111
9,10,26591,71366,21882,128067,0,9,3.0,-6.9,20.200000000000003,6.016397849462366,37.36,100.0,82.46131720430108,4,357,218.88306451612905,0.2,2.5,0.8560483870967741,-1.3,25.8,9.141263440860216,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,20.0,68.0,42.82951612903226,30.0,78.0,48.45427419354839,0.7,8.2,2.80855779032258
10,11,20636,51589,17406,85653,0,9,4.0,-15.4,16.1,-0.2890277777777778,41.99,100.0,87.03761111111112,3,357,220.4055555555556,0.2,1.9,0.9695833333333334,-14.1,16.2,1.795277777777778,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,4.0,61.0,31.47975,7.0,61.0,35.2315,0.7,6.2,3.1810477833333333
11,12,17077,58289,14314,71115,0,9,3.0,-19.4,12.8,-4.460618279569893,44.87,100.0,83.19778225806452,5,351,242.4717741935484,0.2,1.8,0.8916666666666666,-18.7,12.8,-1.825,2018,New Hampshire,Rochester,United States,43.3038,-70.9757,-3.0,55.0,23.97088709677419,-2.0,55.0,28.715,0.7,5.9,2.9254156666666664
