,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21588,57591,17194,90753,0,9,4.0,-12.7,15.9,-0.7638440860215053,43.02,100.0,82.052688172043,2,358,232.15456989247312,0.3,5.300000000000001,1.80497311827957,-9.2,17.0,2.186962365591398,2020,New Jersey,Edison,United States,40.504,-74.3494,9.0,61.0,30.62508064516129,15.0,63.0,35.93653225806452,1.0,17.4,5.921828005376344
1,2,26063,66207,21346,113511,0,9,4.0,-14.4,11.0,-0.0291666666666666,39.02,100.0,82.8411755952381,1,359,215.6577380952381,0.3,6.4,1.6936011904761907,-8.4,13.3,2.864732142857143,2020,New Jersey,Edison,United States,40.504,-74.3494,6.0,52.0,31.9475,17.0,56.0,37.15651785714286,1.0,21.0,5.556434529761906
2,3,35851,110633,31390,174805,0,9,3.0,-7.800000000000001,17.1,3.5459677419354843,39.27,100.0,81.03712365591399,1,359,173.1505376344086,0.4,4.0,1.725940860215054,-4.0,20.0,6.949327956989247,2020,New Jersey,Edison,United States,40.504,-74.3494,18.0,63.0,38.38274193548387,25.0,68.0,44.50879032258064,1.3,13.1,5.662535811827958
3,4,55432,130798,44694,211444,0,9,3.0,-5.2,18.3,4.670833333333333,37.32,100.0,78.34272222222222,1,360,216.83055555555555,0.2,5.800000000000001,1.78625,-1.2000000000000002,20.8,8.658333333333333,2020,New Jersey,Edison,United States,40.504,-74.3494,23.0,65.0,40.4075,30.0,69.0,47.585,0.7,19.0,5.860400449999999
4,5,68324,189005,45908,250671,0,9,3.0,-5.5,21.6,9.646908602150535,35.300000000000004,100.0,77.59180107526882,3,353,193.8521505376344,0.1,3.2,1.330241935483871,1.0,26.0,13.953225806451616,2020,New Jersey,Edison,United States,40.504,-74.3494,22.0,71.0,49.36443548387096,34.0,79.0,57.11580645161291,0.3,10.5,4.364310951612904
5,6,70019,197879,45703,248730,0,9,3.0,4.800000000000001,23.1,16.942777777777778,39.47,100.0,76.98516666666667,2,358,202.45277777777773,0.2,2.3000000000000003,1.022777777777778,7.4,32.0,21.68694444444445,2020,New Jersey,Edison,United States,40.504,-74.3494,41.0,74.0,62.497,45.0,90.0,71.03650000000002,0.7,7.5,3.3555702444444453
6,7,68354,195419,51116,243492,0,9,3.0,16.7,25.6,21.0502688172043,37.4,100.0,76.04879032258064,4,354,195.7674731182796,0.1,3.2,1.0182795698924731,18.9,34.300000000000004,26.17970430107527,2020,New Jersey,Edison,United States,40.504,-74.3494,62.0,78.0,69.89048387096774,66.0,94.0,79.12346774193549,0.3,10.5,3.3408123440860216
7,8,61560,163162,47453,216864,0,9,3.0,10.3,25.3,19.94233870967742,36.34,100.0,78.94797043010753,2,356,188.45430107526883,0.1,5.7,1.114516129032258,15.1,32.5,24.286290322580644,2020,New Jersey,Edison,United States,40.504,-74.3494,51.0,78.0,67.89620967741936,59.0,90.0,75.71532258064516,0.3,18.7,3.6565490967741936
8,9,51921,135172,38575,172809,0,9,2.0,-0.6000000000000001,24.9,14.538611111111113,26.01,100.0,74.60377777777778,1,358,165.9736111111111,0.1,3.0,1.1993055555555556,6.7,30.0,19.82819444444445,2020,New Jersey,Edison,United States,40.504,-74.3494,31.0,77.0,58.1695,44.0,86.0,67.69075000000001,0.3,9.8,3.934729638888889
9,10,30970,87124,25476,135002,0,8,2.0,-4.9,19.6,10.413844086021506,36.34,100.0,80.53193548387097,2,358,190.625,0.2,3.3000000000000003,1.3084677419354838,-2.0,24.3,14.148924731182795,2020,New Jersey,Edison,United States,40.504,-74.3494,23.0,67.0,50.74491935483872,28.0,76.0,57.46806451612903,0.7,10.8,4.292873306451613
10,11,19285,67856,17787,93698,0,9,2.0,-7.800000000000001,19.200000000000003,6.3140277777777785,40.32,100.0,82.86819444444444,1,360,232.83194444444445,0.1,4.7,1.428472222222222,-3.4000000000000004,23.5,9.329722222222223,2020,New Jersey,Edison,United States,40.504,-74.3494,18.0,67.0,43.36525,26.0,74.0,48.7935,0.3,15.4,4.686588805555554
11,12,19651,50722,16647,80129,0,9,4.0,-11.6,15.8,-0.178763440860215,50.18,100.0,85.95184139784946,0,358,242.252688172043,0.1,5.5,1.7642473118279571,-9.2,16.2,2.0438172043010754,2020,New Jersey,Edison,United States,40.504,-74.3494,11.0,60.0,31.67822580645161,15.0,61.0,35.678870967741936,0.3,18.0,5.788213150537635
