,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,21229,57100,17228,90061,0,9,3.0,-12.6,15.5,-0.7646505376344086,43.27,100.0,81.80629032258064,2,358,232.15456989247312,0.4,5.5,1.871370967741936,-8.9,16.6,2.2072580645161293,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,9.0,60.0,30.623629032258066,16.0,62.0,35.973064516129035,1.3,18.0,6.139668725806453
1,2,25092,64920,21526,112918,0,9,4.0,-14.4,10.3,-0.1306547619047618,40.46,100.0,82.64684523809524,1,359,215.6577380952381,0.3,6.5,1.7529761904761905,-8.9,12.8,2.761904761904762,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,6.0,51.0,31.76482142857143,16.0,55.0,36.971428571428575,1.0,21.3,5.751234404761905
2,3,36163,110253,31302,174503,0,9,3.0,-7.9,16.6,3.389247311827957,39.27,100.0,80.85271505376343,1,359,173.1505376344086,0.4,4.1000000000000005,1.7861559139784948,-4.2,19.3,6.788709677419355,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,18.0,62.0,38.10064516129032,24.0,67.0,44.21967741935484,1.3,13.5,5.860091768817205
3,4,54994,128931,44711,211392,0,9,3.0,-5.0,17.6,4.5825000000000005,38.29,100.0,78.23784722222223,1,360,216.83055555555555,0.2,6.0,1.85625,-0.7000000000000001,20.0,8.549861111111111,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,23.0,64.0,40.2485,31.0,68.0,47.38975,0.7,19.7,6.09005925
4,5,64465,188536,46060,250916,0,8,3.0,-5.2,21.3,9.55510752688172,35.74,100.0,77.65307795698925,3,353,193.8521505376344,0.1,3.3000000000000003,1.392741935483871,1.4,25.200000000000003,13.810752688172045,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,23.0,70.0,49.1991935483871,35.0,77.0,56.85935483870968,0.3,10.8,4.569363451612904
5,6,69503,196980,45611,248838,0,9,3.0,5.0,22.700000000000003,16.88458333333333,40.32,100.0,77.10236111111111,2,358,202.45277777777773,0.2,2.4000000000000004,1.0733333333333337,7.7,31.5,21.554861111111112,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,41.0,73.0,62.39225,46.0,89.0,70.79875000000001,0.7,7.9,3.5214349333333343
6,7,70466,191110,50921,243479,0,9,3.0,16.900000000000002,25.5,21.04301075268817,37.31,100.0,76.20864247311829,4,354,195.7674731182796,0.1,3.3000000000000003,1.0751344086021506,19.200000000000003,34.1,26.085483870967742,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,62.0,78.0,69.87741935483871,67.0,93.0,78.95387096774193,0.3,10.8,3.52734397311828
7,8,62602,162074,47299,216904,0,9,3.0,9.9,24.8,19.79758064516129,35.94,100.0,78.07880376344086,2,356,188.45430107526883,0.1,5.9,1.171505376344086,15.4,32.2,24.302688172043013,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,50.0,77.0,67.63564516129031,60.0,90.0,75.74483870967742,0.3,19.4,3.843521698924731
8,9,53267,134124,38516,172533,0,8,2.0,-0.4,24.8,14.563611111111111,26.63,100.0,74.33116666666668,1,358,165.9736111111111,0.1,3.2,1.2641666666666669,7.300000000000001,29.6,19.88777777777777,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,31.0,77.0,58.2145,45.0,85.0,67.798,0.3,10.5,4.147528566666668
9,10,32613,84071,25677,134317,0,8,2.0,-4.6000000000000005,19.3,10.390591397849462,37.51,100.0,80.06439516129032,2,358,190.625,0.2,3.4000000000000004,1.3737903225806452,-1.6,24.1,14.194758064516128,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,24.0,67.0,50.70306451612903,29.0,75.0,57.55056451612903,0.7,11.2,4.507186241935484
10,11,19409,65626,17768,93053,0,9,2.0,-7.4,19.0,6.350694444444445,41.59,100.0,82.40445833333334,1,360,232.83194444444445,0.1,4.9,1.502916666666667,-3.0,23.0,9.432083333333336,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,19.0,66.0,43.43125,27.0,73.0,48.97775000000001,0.3,16.1,4.930829116666668
11,12,19784,49291,16563,79422,0,9,4.0,-11.5,15.6,-0.0900537634408602,50.8,100.0,85.27001344086021,0,358,242.252688172043,0.1,5.6000000000000005,1.84489247311828,-9.5,16.1,2.23736559139785,2020,New Jersey,Elizabeth,United States,40.6619,-74.2117,11.0,60.0,31.837903225806453,15.0,61.0,36.02725806451613,0.3,18.4,6.052797021505378
