,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22328,55789,17217,89674,0,9,4.0,-12.5,15.1,-0.7309139784946236,44.37,100.0,82.01823924731183,2,358,232.15456989247312,0.4,6.9,2.489919354838709,-8.700000000000001,15.9,2.180913978494624,2020,New Jersey,Jersey City,United States,40.714,-74.071,10.0,59.0,30.68435483870968,16.0,61.0,35.925645161290326,1.3,22.6,8.16902701612903
1,2,25195,62709,21556,112559,0,9,4.0,-14.3,9.5,-0.2120535714285714,41.99,100.0,82.84922619047619,1,359,215.6577380952381,0.4,8.0,2.2811011904761904,-9.4,12.1,2.615178571428572,2020,New Jersey,Jersey City,United States,40.714,-74.071,6.0,49.0,31.618303571428573,15.0,54.0,36.70732142857143,1.3,26.2,7.483928029761905
2,3,37479,110282,30995,174393,0,9,3.0,-8.0,15.9,3.233064516129033,39.38,100.0,81.11701612903225,1,359,173.1505376344086,0.5,5.2,2.344489247311828,-4.5,18.3,6.541129032258065,2020,New Jersey,Jersey City,United States,40.714,-74.071,18.0,61.0,37.81951612903226,24.0,65.0,43.77403225806452,1.6,17.1,7.691894102150538
3,4,54186,128147,44345,211286,0,9,3.0,-4.7,16.8,4.499444444444444,39.8,100.0,78.621375,1,360,216.83055555555555,0.4,7.7,2.516388888888889,-0.3,18.9,8.351111111111111,2020,New Jersey,Jersey City,United States,40.714,-74.071,24.0,62.0,40.099,31.0,66.0,47.032,1.3,25.3,8.255869322222221
4,5,65600,188560,45724,251055,0,8,3.0,-4.7,20.9,9.44206989247312,36.74,100.0,78.19807795698925,3,353,193.8521505376344,0.2,4.7,1.9372311827956992,1.6,24.5,13.543010752688172,2020,New Jersey,Jersey City,United States,40.714,-74.071,24.0,70.0,48.99572580645162,35.0,76.0,56.37741935483871,0.7,15.4,6.355745553763442
5,6,70022,198661,45315,248777,0,9,3.0,5.1000000000000005,22.3,16.81861111111111,41.78,100.0,77.68023611111111,2,358,202.45277777777773,0.3,3.5,1.5119444444444443,8.0,30.700000000000003,21.30875,2020,New Jersey,Jersey City,United States,40.714,-74.071,41.0,72.0,62.2735,46.0,87.0,70.35575,1.0,11.5,4.960447811111111
6,7,70633,191197,50558,243529,0,9,3.0,16.8,25.5,21.05040322580645,38.13,100.0,76.84998655913978,4,354,195.7674731182796,0.2,4.5,1.5684139784946238,19.4,33.6,25.89381720430108,2020,New Jersey,Jersey City,United States,40.714,-74.071,62.0,78.0,69.8907258064516,67.0,92.0,78.60887096774195,0.7,14.8,5.145715317204302
7,8,62136,162642,46810,216898,0,9,3.0,9.5,24.3,19.644489247311828,35.51,100.0,77.47405913978494,2,356,188.45430107526883,0.3,8.3,1.6978494623655915,15.7,31.9,24.258333333333333,2020,New Jersey,Jersey City,United States,40.714,-74.071,49.0,76.0,67.36008064516129,60.0,89.0,75.66499999999999,1.0,27.2,5.570372430107527
8,9,53939,134127,38186,172288,0,8,3.0,-0.2,24.6,14.620277777777778,27.65,100.0,74.43441666666666,1,358,165.9736111111111,0.4,4.9,1.8373611111111112,7.800000000000001,29.200000000000003,19.89263888888889,2020,New Jersey,Jersey City,United States,40.714,-74.071,32.0,76.0,58.316500000000005,46.0,85.0,67.80675,1.3,16.1,6.028087827777778
9,10,33368,83747,25746,133925,0,8,2.0,-4.3,18.9,10.398655913978494,38.96,100.0,79.94426075268817,2,358,190.625,0.3,4.800000000000001,1.960215053763441,-1.1,23.8,14.200403225806452,2020,New Jersey,Jersey City,United States,40.714,-74.071,24.0,66.0,50.71758064516129,30.0,75.0,57.560725806451615,1.0,15.7,6.431151956989248
10,11,19925,64822,17740,92721,0,9,3.0,-7.2,18.7,6.4215277777777775,43.46,100.0,82.3380138888889,1,360,232.83194444444445,0.2,6.7,2.18,-2.5,22.4,9.494166666666668,2020,New Jersey,Jersey City,United States,40.714,-74.071,19.0,66.0,43.55875,28.0,72.0,49.0895,0.7,22.0,7.1522312
11,12,20203,47017,16486,79044,0,9,4.0,-11.2,15.2,0.0470430107526881,52.07,100.0,84.99772849462366,0,358,242.252688172043,0.3,7.6,2.5766129032258065,-9.6,15.8,2.4080645161290324,2020,New Jersey,Jersey City,United States,40.714,-74.071,12.0,59.0,32.08467741935484,15.0,60.0,36.33451612903226,1.0,24.9,8.453454677419355
