,Month,month_DHI,month_GHI,month_clearsky_DHI,month_clearsky_GHI,min_cloud_type,max_cloud_type,ave_cloud_type,min_dew_point,max_dew_point,ave_dew_point,min_rel_humid,max_rel_humid,ave_rel_humid,min_wind_dir,max_wind_dir,ave_wind_dir,min_wind_speed,max_wind_speed,ave_wind_speed,min_temp,max_temp,ave_temp,year,state,city,country,lat,long,min_dew_point_F,max_dew_point_F,ave_dew_point_F,min_temp_F,max_temp_F,ave_temp_F,min_wind_speed_ft-s,max_wind_speed_ft-s,ave_wind_speed_ft-s
0,1,22783,51211,22561,87257,0,9,5.0,-14,12,-1.3803763440860215,51.65,100.0,86.06577956989247,0.1,359.90000000000003,217.1454301075269,0.1,5.2,1.830913978494624,-11,14,1.0295698924731185,2017,New Jersey,Newark,United States,40.7242,-74.1726,7.0,54.0,29.51532258064516,12.0,57.0,33.85322580645161,0.3,17.1,6.006935817204302
1,2,31537,84815,26072,111363,0,9,4.0,-11,13,-0.2142857142857142,48.01,100.0,85.4875892857143,0.9,359.3,237.0145833333333,0.2,5.2,1.8782738095238096,-8,18,2.270833333333333,2017,New Jersey,Newark,United States,40.7242,-74.1726,12.0,55.0,31.614285714285717,18.0,64.0,36.0875,0.7,17.1,6.162315845238096
2,3,40976,123763,44386,174793,0,9,4.0,-15,15,-1.8991935483870968,36.36,100.0,79.37005376344086,0.9,359.1,222.26801075268816,0.3,5.7,2.166532258064516,-11,17,1.8333333333333333,2017,New Jersey,Newark,United States,40.7242,-74.1726,5.0,59.0,28.581451612903223,12.0,63.0,35.3,1.0,18.7,7.108045693548387
3,4,61021,140005,48772,204477,0,9,4.0,-1,18,7.831944444444445,45.68,100.0,87.39759722222222,0.2,359.90000000000003,192.74152777777772,0.2,4.1000000000000005,1.3897222222222223,0,25,10.879166666666666,2017,New Jersey,Newark,United States,40.7242,-74.1726,30.0,64.0,46.0975,32.0,77.0,51.5825,0.7,13.5,4.559456255555556
4,5,75492,160720,53350,244230,0,9,4.0,2,21,10.530913978494624,42.83,100.0,85.86536290322582,0.0,359.1,180.33629032258065,0.1,3.1,1.2880376344086022,4,28,13.920698924731182,2017,New Jersey,Newark,United States,40.7242,-74.1726,36.0,70.0,50.95564516129032,39.0,82.0,57.05725806451613,0.3,10.2,4.225845392473119
5,6,70688,193395,54132,245561,0,9,3.0,8,23,15.973611111111111,48.51,100.0,84.74351388888888,6.4,359.0,206.5847222222222,0.1,2.7,1.0931944444444446,8,30,19.690277777777776,2017,New Jersey,Newark,United States,40.7242,-74.1726,46.0,73.0,60.7525,46.0,86.0,67.4425,0.3,8.9,3.5865960611111114
6,7,76748,189087,58765,241168,0,9,4.0,12,23,18.791666666666668,43.68,100.0,83.58653225806451,0.2,359.40000000000003,186.2572580645161,0.1,3.2,0.9376344086021504,14,32,22.87903225806452,2017,New Jersey,Newark,United States,40.7242,-74.1726,54.0,73.0,65.825,57.0,90.0,73.18225806451613,0.3,10.5,3.076228473118279
7,8,64032,174669,51675,216281,0,9,4.0,8,25,17.052419354838708,38.16,100.0,81.46387096774194,0.7000000000000001,359.90000000000003,206.2326612903226,0.1,2.5,0.9931451612903228,13,31,21.563172043010752,2017,New Jersey,Newark,United States,40.7242,-74.1726,46.0,77.0,62.69435483870967,55.0,88.0,70.81370967741935,0.3,8.2,3.258350370967743
8,9,51168,136468,39130,171007,0,8,3.0,4,20,14.756944444444445,33.160000000000004,100.0,79.66008333333333,0.0,360.0,176.7375,0.1,2.7,1.1730555555555555,9,31,19.60277777777777,2017,New Jersey,Newark,United States,40.7242,-74.1726,39.0,68.0,58.5625,48.0,88.0,67.285,0.3,8.9,3.8486075888888887
9,10,34331,102077,26836,132753,0,8,3.0,-2,23,10.850806451612904,25.6,100.0,78.84481182795699,0.5,359.5,203.22043010752688,0.1,3.4000000000000004,1.3643817204301076,4,27,15.85483870967742,2017,New Jersey,Newark,United States,40.7242,-74.1726,28.0,73.0,51.531451612903226,39.0,81.0,60.53870967741936,0.3,11.2,4.476318123655914
10,11,24673,70437,21263,91384,0,9,4.0,-11,16,2.645833333333333,35.08,100.0,83.12191666666666,0.2,359.70000000000005,189.4075,0.3,3.7,1.4172222222222224,-4,21,6.018055555555556,2017,New Jersey,Newark,United States,40.7242,-74.1726,12.0,61.0,36.7625,25.0,70.0,42.8325,1.0,12.1,4.6496793555555564
11,12,22839,55527,22237,76977,0,9,5.0,-16,13,-3.088709677419355,45.55,100.0,79.48362903225807,1.2000000000000002,359.6,231.46129032258065,0.1,4.2,1.5939516129032258,-11,14,0.260752688172043,2017,New Jersey,Newark,United States,40.7242,-74.1726,3.0,55.0,26.44032258064516,12.0,57.0,32.46935483870968,0.3,13.8,5.229500209677419
