id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,parent_categories,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
pcPeziE1SB4x4dS2nkWjNw,hiccups-loma-linda,Hiccups,https://s3-media3.fl.yelpcdn.com/bphoto/QcMcLPsd1N95LojnvUr7Fw/o.jpg,False,https://www.yelp.com/biz/hiccups-loma-linda?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,314,"asianfusion, vietnamese, thai",4.0,"['pickup', 'delivery']",$$,+19094789586,(909) 478-9586,8398.837479852304,,34.047878,-117.241143,25805 Barton Rd,,,Loma Linda,92354,US,CA,"['25805 Barton Rd', 'Loma Linda, CA 92354']"
3kjmECWLwYkov-7Tg5QGRQ,better-be-donuts-and-cafe-riverside,Better Be Donuts & Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/QRdpzmuYZVgzmSKBENnjwA/o.jpg,False,https://www.yelp.com/biz/better-be-donuts-and-cafe-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,64,"donuts, sandwiches, coffee",5.0,"['pickup', 'delivery']",$,+19516530166,(951) 653-0166,8058.742134043145,,33.916088,-117.312924,1015 E Alessandro Blvd,Ste 170,,Riverside,92508,US,CA,"['1015 E Alessandro Blvd', 'Ste 170', 'Riverside, CA 92508']"
J5C5KKVcw0nBBRRew7E11g,veg-and-go-plant-based-fast-food-riverside,Veg & Go Plant Based Fast Food,https://s3-media3.fl.yelpcdn.com/bphoto/KDQKhkkbaC_tAs_KUbM3xQ/o.jpg,False,https://www.yelp.com/biz/veg-and-go-plant-based-fast-food-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,62,"hotdogs, vegan, vegetarian",5.0,"['pickup', 'delivery']",$$,+19512136233,(951) 213-6233,7116.281460498677,,33.976892,-117.337612,1201 University Ave,Ste 115,,Riverside,92507,US,CA,"['1201 University Ave', 'Ste 115', 'Riverside, CA 92507']"
rII165Z2K2kAfpkm8Hz82w,shrimp-factory-moreno-valley,Shrimp Factory,https://s3-media4.fl.yelpcdn.com/bphoto/xrg0NVwy7dhFEP0TTa7qHA/o.jpg,False,https://www.yelp.com/biz/shrimp-factory-moreno-valley?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,243,seafood,3.5,"['delivery', 'pickup']",$$,+19514869385,(951) 486-9385,2950.143753943652,,33.947636,-117.263226,11875 Pigeon Pass Rd,Ste 18,,Moreno Valley,92557,US,CA,"['11875 Pigeon Pass Rd', 'Ste 18', 'Moreno Valley, CA 92557']"
9FFs6tEJ4QI_fc1fA2QYEw,taco-station-riverside,Taco Station,https://s3-media1.fl.yelpcdn.com/bphoto/DCAPkLV8N8jdaOhh0GYTOw/o.jpg,False,https://www.yelp.com/biz/taco-station-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,688,mexican,4.0,['delivery'],$,+19517828226,(951) 782-8226,10929.438909564855,,33.9848670959473,-117.378372192383,4088 Mission Inn Ave,,,Riverside,92501,US,CA,"['4088 Mission Inn Ave', 'Riverside, CA 92501']"
kLqXZ-XldTzv0uTIh92Wow,el-patron-downtown-riverside-riverside,El Patron Downtown Riverside,https://s3-media3.fl.yelpcdn.com/bphoto/6oVpX9y76BbVvPVqw8ls8w/o.jpg,False,https://www.yelp.com/biz/el-patron-downtown-riverside-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,328,"mexican, cocktailbars, venues",4.5,[],$$,+19517771131,(951) 777-1131,9979.661452852757,,33.97992,-117.36852,3204 Mission Inn Ave,,,Riverside,92507,US,CA,"['3204 Mission Inn Ave', 'Riverside, CA 92507']"
ndKpPNChiKFlzpHgyRTjwA,getaway-cafe-riverside-2,Getaway Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/gTeIwlw4YGZ28dX26LdMtQ/o.jpg,False,https://www.yelp.com/biz/getaway-cafe-riverside-2?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,306,"burgers, sandwiches, pizza",3.5,"['pickup', 'delivery']",$$,+19517863606,(951) 786-3606,6547.860195805791,,33.9775942300717,-117.331395768519,3615 Canyon Crest Dr,,,Riverside,92507,US,CA,"['3615 Canyon Crest Dr', 'Riverside, CA 92507']"
xXRZAocYmXuFsZGizDacWA,loving-hut-redlands,Loving Hut,https://s3-media2.fl.yelpcdn.com/bphoto/S9cnLmlhfjNZATgtuPP6Dg/o.jpg,False,https://www.yelp.com/biz/loving-hut-redlands?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,145,vegan,5.0,[],,+19093350077,(909) 335-0077,11841.325870431829,,34.060942,-117.1862,345 W Pearl Ave,Ste 100,,Redlands,92374,US,CA,"['345 W Pearl Ave', 'Ste 100', 'Redlands, CA 92374']"
kmdrAFVh0A82ZH8aFoZdAQ,my-hero-subs-riverside,My Hero-Subs,https://s3-media4.fl.yelpcdn.com/bphoto/67avd6FKQv0ukXPr0CASVw/o.jpg,False,https://www.yelp.com/biz/my-hero-subs-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,203,"sandwiches, salad, delis",4.0,"['delivery', 'pickup']",$,+19517847370,(951) 784-7370,7402.17786343048,,33.9819717407227,-117.34058380127,3355 Iowa Ave,,,Riverside,92507,US,CA,"['3355 Iowa Ave', 'Riverside, CA 92507']"
pbs5qX9t6pIibQGTjEUv6Q,la-bufadora-baja-grill-riverside-7,La Bufadora Baja Grill,https://s3-media1.fl.yelpcdn.com/bphoto/9517wbaVdceEAuRVSBwmYQ/o.jpg,False,https://www.yelp.com/biz/la-bufadora-baja-grill-riverside-7?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,252,"mexican, hotdogs, seafood",4.0,"['pickup', 'delivery']",$,+19517762881,(951) 776-2881,8686.895938021118,,33.9149239551266,-117.322034914535,497 E Alessandro Blvd,Ste B,,Riverside,92508,US,CA,"['497 E Alessandro Blvd', 'Ste B', 'Riverside, CA 92508']"
