zpid,full_address,street_address,city,state,zipcode,bedrooms,bathrooms,sqft,price,owner
17875262,"23043 seabrook ln, moreno valley, ca 92557",23043 seabrook ln,moreno valley,ca,92557,2,2,936,383900,zillow
55030278,"12953 bermuda dunes dr, victorville, ca 92395",12953 bermuda dunes dr,victorville,ca,92395,3,2,1415,362200,zillow
69293332,"41117 royal sunset rd, lake elsinore, ca 92532",41117 royal sunset rd,lake elsinore,ca,92532,5,3,2750,567900,zillow
69261278,"30684 emperor dr, quail valley, ca 92587",30684 emperor dr,quail valley,ca,92587,3,2,2020,661900,zillow
25513735,"2693 brand dr, tustin, ca 92782",2693 brand dr,tustin,ca,92782,4,3,2100,1166200,zillow
17640465,"13239 snowview rd, victorville, ca 92392",13239 snowview rd,victorville,ca,92392,4,2,1633,362900,zillow
18098767,"66338 6th st, desert hot springs, ca 92240",66338 6th st,desert hot springs,ca,92240,4,2,1800,361900,zillow
60281156,"27083 sunningdale way, valley center, ca 92082",27083 sunningdale way,valley center,ca,92082,3,3,2141,761200,zillow
243353573,"13697 glen canyon dr, corona, ca 92883",13697 glen canyon dr,corona,ca,92883,5,3,2496,701200,zillow
25534257,"25462 morningstar rd, lake forest, ca 92630",25462 morningstar rd,lake forest,ca,92630,5,4,2330,1076300,zillow
25914467,"9462 hidden hollow ct, elk grove, ca 95758",9462 hidden hollow ct,elk grove,ca,95758,3,2,1386,547300,zillow
64679007,"29208 azara st, murrieta, ca 92563",29208 azara st,murrieta,ca,92563,4,3,3258,614900,zillow
25636356,"21192 mazatlan, mission viejo, ca 92692",21192 mazatlan,mission viejo,ca,92692,3,3,1941,930100,zillow
305287044,"277 magnet, irvine, ca 92618",277 magnet,irvine,ca,92618,2,3,1351,767300,zillow
17949971,"15721 lake ridge rd, lake elsinore, ca 92530",15721 lake ridge rd,lake elsinore,ca,92530,4,3,2293,606100,zillow
16798016,"14140 chicarita creek rd, san diego, ca 92128",14140 chicarita creek rd,san diego,ca,92128,3,2,1968,944300,zillow
18189977,"29657 saint andrews ct, murrieta, ca 92563",29657 saint andrews ct,murrieta,ca,92563,3,2,1143,513900,zillow
63466431,"132 glenwood cir, roseville, ca 95678",132 glenwood cir,roseville,ca,95678,5,3,2822,699900,zillow
17535830,"2321 s magnolia ave #9a, ontario, ca 91762",2321 s magnolia ave #9a,ontario,ca,91762,2,3,1146,416300,zillow
79810266,"22681 oakgrove unit 423, aliso viejo, ca 92656",22681 oakgrove unit 423,aliso viejo,ca,92656,2,2,1158,562900,zillow
17817666,"6367 brian cir, riverside, ca 92509",6367 brian cir,riverside,ca,92509,3,2,1177,531200,zillow
18177651,"40279 via ambiente, murrieta, ca 92562",40279 via ambiente,murrieta,ca,92562,2,2,1263,479900,zillow
17949971,"15721 lake ridge rd, lake elsinore, ca 92530",15721 lake ridge rd,lake elsinore,ca,92530,4,3,2293,606100,zillow
68560900,"920 equinox loop, lincoln, ca 95648",920 equinox loop,lincoln,ca,95648,3,3,1542,474900,zillow
240359505,"2558 amelia earhart ave, sacramento, ca 95834",2558 amelia earhart ave,sacramento,ca,95834,4,3,2500,614900,zillow
64679007,"29208 azara st, murrieta, ca 92563",29208 azara st,murrieta,ca,92563,4,3,3258,614900,zillow
